,Levenshtein distance
NLB073897_01,0
NLB072721_01,0
NLB070125_01,0
NLB111760_01,0
NLB075616_01,0
NLB152778_01,0
NLB073146_01,0
NLB074443_01,0
NLB072257_01,0
NLB074437_01,0
NLB076118_01,0
NLB141314_01,0
NLB074672_01,0
NLB075079_01,0
NLB073685_01,0
NLB073788_01,0
NLB074613_02,0
NLB073626_01,0
NLB074860_01,0
NLB070748_01,0
NLB074100_01,0
NLB015569_01,0
NLB074840_01,0
NLB134474_01,0
NLB073120_01,1
NLB072248_01,1
NLB074948_01,1
NLB071064_01,1
NLB072708_01,1
NLB074769_02,1
NLB070238_01,1
NLB075831_01,1
NLB074956_01,1
NLB075525_01,1
NLB070475_01,1
NLB072585_01,1
NLB072587_01,1
NLB073287_02,1
NLB074533_01,1
NLB072497_01,1
NLB074157_01,1
NLB076271_01,1
NLB073866_01,1
NLB070137_01,1
NLB074161_01,1
NLB073483_01,1
NLB072587_02,1
NLB072505_01,1
NLB074028_01,1
NLB138219_01,1
NLB073287_01,1
NLB075771_02,1
NLB072311_01,1
NLB073895_01,1
NLB074954_01,1
NLB151180_01,1
NLB074038_01,1
NLB074769_01,1
NLB072450_01,1
NLB073628_01,1
NLB075167_01,1
NLB072255_01,1
NLB070078_01,1
NLB074333_01,1
NLB072638_01,1
NLB075073_01,1
NLB074427_01,1
NLB073311_01,1
NLB146731_01,1
NLB075057_01,1
NLB074840_02,1
NLB072287_01,1
NLB072285_01,1
NLB075034_01,1
NLB073339_01,1
NLB071441_01,1
NLB073803_01,1
NLB073393_01,1
NLB072250_01,1
NLB141251_01,1
NLB124573_01,1
NLB072378_01,1
NLB073939_01,1
NLB072299_01,1
NLB072968_01,1
NLB074470_01,1
NLB075881_02,1
NLB074378_02,1
NLB073777_01,1
NLB073862_01,1
NLB074452_01,1
NLB073225_02,1
NLB073946_01,1
NLB146699_01,1
NLB074649_01,1
NLB073958_01,1
NLB075431_01,1
NLB072823_01,1
NLB111656_01,1
NLB074309_01,1
NLB075848_01,1
NLB072647_01,1
NLB074342_01,1
NLB074077_02,1
NLB073225_01,1
NLB072289_01,1
NLB076076_01,1
NLB070526_01,1
NLB075307_03,1
NLB072690_01,1
NLB073331_01,1
NLB075065_01,1
NLB074156_03,1
NLB074336_01,1
NLB074328_01,1
NLB076495_01,1
NLB071014_01,1
NLB075906_01,1
NLB075021_01,1
NLB074390_01,1
NLB073298_01,1
NLB073031_01,1
NLB141407_01,1
NLB075318_01,1
NLB074003_01,1
NLB072774_02,1
NLB072441_01,1
NLB144042_01,1
NLB076258_01,1
NLB073639_01,1
NLB073516_01,1
NLB072288_01,1
NLB073324_01,1
NLB146728_01,1
NLB073404_01,1
NLB073994_01,1
NLB075074_01,1
NLB076303_01,1
NLB073269_02,1
NLB076211_01,1
NLB075739_03,1
NLB070606_01,1
NLB074938_01,1
NLB074261_01,1
NLB073888_01,1
NLB072103_01,1
NLB072003_01,1
NLB075064_01,1
NLB073277_01,1
NLB073426_01,1
NLB112115_01,1
NLB070521_01,1
NLB071016_01,1
NLB073754_02,1
NLB072912_01,1
NLB076632_01,1
NLB074234_01,1
NLB073879_02,1
NLB073998_01,1
NLB072284_01,1
NLB070535_01,1
NLB071958_01,1
NLB072286_01,1
NLB125421_01,1
NLB071944_01,1
NLB073326_01,1
NLB072886_02,1
NLB070096_01,1
NLB146741_01,1
NLB072627_01,1
NLB072015_01,1
NLB141649_01,1
NLB072920_01,1
NLB072482_01,1
NLB073992_01,1
NLB075309_02,1
NLB074468_01,1
NLB072614_01,1
NLB074182_01,1
NLB072283_01,1
NLB072665_01,1
NLB075313_01,1
NLB074552_01,1
NLB075156_01,1
NLB075035_01,1
NLB072085_01,1
NLB072500_01,1
NLB073990_01,1
NLB072754_01,1
NLB074308_01,1
NLB075742_01,1
NLB075013_01,1
NLB075273_01,1
NLB072306_01,1
NLB074007_01,1
NLB071478_01,1
NLB072253_01,1
NLB072946_01,1
NLB074603_01,1
NLB075191_01,1
NLB112210_01,1
NLB073750_01,1
NLB074166_01,1
NLB075532_01,1
NLB070053_01,1
NLB071082_01,1
NLB070122_01,1
NLB072886_01,1
NLB073709_01,1
NLB070493_01,1
NLB074593_01,1
