,title,normalized_count
0,NLB015569_01,9.0
1,NLB074038_01,6.667
2,NLB072968_01,6.0
3,NLB073311_01,4.333
4,NLB075309_02,4.0
5,NLB072286_01,3.667
6,NLB075525_01,3.5
7,NLB146741_01,3.333
8,NLB072287_01,3.333
9,NLB072285_01,3.333
10,NLB073339_01,3.333
11,NLB074156_03,3.333
12,NLB076632_01,3.25
13,NLB073862_01,3.0
14,NLB070078_01,2.75
15,NLB070521_01,2.667
16,NLB071014_01,2.667
17,NLB072306_01,2.5
18,NLB070535_01,2.5
19,NLB073298_01,2.333
20,NLB075742_01,2.333
21,NLB072886_01,2.25
22,NLB072614_01,2.25
23,NLB072299_01,2.0
24,NLB074157_01,2.0
25,NLB074954_01,2.0
26,NLB075739_03,2.0
27,NLB072886_02,2.0
28,NLB072587_02,2.0
29,NLB072500_01,2.0
30,NLB072497_01,2.0
31,NLB075831_01,2.0
32,NLB075848_01,2.0
33,NLB073992_01,2.0
34,NLB152778_01,2.0
35,NLB070748_01,2.0
36,NLB070238_01,2.0
37,NLB076118_01,1.75
38,NLB073939_01,1.75
39,NLB074003_01,1.75
40,NLB072003_01,1.75
41,NLB075616_01,1.667
42,NLB074007_01,1.667
43,NLB074468_01,1.667
44,NLB074769_01,1.667
45,NLB074860_01,1.667
46,NLB072721_01,1.667
47,NLB071016_01,1.667
48,NLB073994_01,1.667
49,NLB076076_01,1.667
50,NLB070053_01,1.667
51,NLB072627_01,1.5
52,NLB070526_01,1.5
53,NLB072647_01,1.5
54,NLB072587_01,1.5
55,NLB076495_01,1.5
56,NLB073326_01,1.5
57,NLB071478_01,1.333
58,NLB073754_02,1.333
59,NLB072289_01,1.333
60,NLB075079_01,1.333
61,NLB075771_02,1.333
62,NLB075881_02,1.333
63,NLB076258_01,1.333
64,NLB076271_01,1.333
65,NLB141649_01,1.333
66,NLB075318_01,1.333
67,NLB074161_01,1.333
68,NLB072283_01,1.333
69,NLB072255_01,1.333
70,NLB072103_01,1.333
71,NLB073287_02,1.25
72,NLB073990_01,1.25
73,NLB071441_01,1.25
74,NLB073331_01,1.25
75,NLB072505_01,1.25
76,NLB075064_01,1.167
77,NLB073393_01,1.167
78,NLB071064_01,1.0
79,NLB074603_01,1.0
80,NLB073879_02,1.0
81,NLB072754_01,1.0
82,NLB074593_01,1.0
83,NLB073287_01,1.0
84,NLB074938_01,1.0
85,NLB074470_01,1.0
86,NLB074261_01,1.0
87,NLB074328_01,1.0
88,NLB075021_01,1.0
89,NLB074769_02,1.0
90,NLB074333_01,1.0
91,NLB074342_01,1.0
92,NLB112210_01,1.0
93,NLB070122_01,1.0
94,NLB072638_01,1.0
95,NLB073788_01,1.0
96,NLB144042_01,1.0
97,NLB072311_01,1.0
98,NLB070137_01,1.0
99,NLB075906_01,1.0
100,NLB072284_01,1.0
101,NLB076211_01,1.0
102,NLB075191_01,1.0
103,NLB072450_01,1.0
104,NLB073426_01,1.0
105,NLB075156_01,0.833
106,NLB070493_01,0.833
107,NLB125421_01,0.75
108,NLB072708_01,0.75
109,NLB072823_01,0.75
110,NLB074437_01,0.75
111,NLB075034_01,0.75
112,NLB074649_01,0.75
113,NLB074533_01,0.75
114,NLB073628_01,0.75
115,NLB073639_01,0.75
116,NLB073483_01,0.75
117,NLB071958_01,0.75
118,NLB074100_01,0.667
119,NLB074028_01,0.667
120,NLB074672_01,0.667
121,NLB073777_01,0.667
122,NLB075167_01,0.667
123,NLB072288_01,0.667
124,NLB074182_01,0.667
125,NLB074443_01,0.667
126,NLB074309_01,0.667
127,NLB073225_01,0.5
128,NLB073031_01,0.5
129,NLB072690_01,0.5
130,NLB072665_01,0.5
131,NLB073225_02,0.5
132,NLB070475_01,0.5
133,NLB075307_03,0.5
134,NLB074390_01,0.5
135,NLB070606_01,0.5
136,NLB074948_01,0.5
137,NLB075313_01,0.5
138,NLB072482_01,0.5
139,NLB072441_01,0.5
140,NLB070125_01,0.5
141,NLB074427_01,0.5
142,NLB071944_01,0.4
143,NLB073685_01,0.333
144,NLB073750_01,0.333
145,NLB072257_01,0.333
146,NLB076303_01,0.333
147,NLB134474_01,0.333
148,NLB141314_01,0.333
149,NLB073626_01,0.333
150,NLB073803_01,0.333
151,NLB074840_01,0.333
152,NLB074077_02,0.333
153,NLB073895_01,0.333
154,NLB074552_01,0.333
155,NLB073958_01,0.333
156,NLB074613_02,0.333
157,NLB074840_02,0.333
158,NLB071082_01,0.333
159,NLB073866_01,0.25
160,NLB072585_01,0.25
161,NLB075013_01,0.25
162,NLB073146_01,0.25
163,NLB072253_01,0.167
164,NLB075057_01,0.16
165,NLB073120_01,0.125
166,NLB074378_02,0.109
167,NLB073404_01,0.1
168,NLB074452_01,0.091
169,NLB072774_02,0.085
170,NLB074308_01,0.077
171,NLB072085_01,0.056
172,NLB075035_01,0.055
173,NLB075273_01,0.053
174,NLB073709_01,0.05
175,NLB073269_02,0.047
176,NLB073324_01,0.033
177,NLB070079_01,
178,NLB070089_01,
179,NLB070134_01,
180,NLB070141_01,
181,NLB070144_01,
182,NLB070360_01,
183,NLB070411_01,
184,NLB070463_01,
185,NLB070492_01,
186,NLB070693_01,
187,NLB070732_01,
188,NLB070740_01,
189,NLB070839_01,
190,NLB070996_01,
191,NLB071227_01,
192,NLB071369_01,
193,NLB071666_01,
194,NLB071669_01,
195,NLB071957_03,
196,NLB071974_02,
197,NLB072237_01,
198,NLB072254_01,
199,NLB072256_01,
200,NLB072355_01,
201,NLB072356_02,
202,NLB072357_01,
203,NLB072358_01,
204,NLB072360_01,
205,NLB072457_01,
206,NLB072559_01,
207,NLB072565_01,
208,NLB072567_01,
209,NLB072624_01,
210,NLB072664_01,
211,NLB072688_01,
212,NLB072691_01,
213,NLB072714_01,
214,NLB072813_01,
215,NLB072837_01,
216,NLB072851_02,
217,NLB072862_01,
218,NLB072871_01,
219,NLB072881_01,
220,NLB072883_01,
221,NLB072895_01,
222,NLB072897_01,
223,NLB072898_01,
224,NLB072898_02,
225,NLB072967_01,
226,NLB073046_01,
227,NLB073076_01,
228,NLB073150_01,
229,NLB073210_01,
230,NLB073286_01,
231,NLB073296_01,
232,NLB073304_01,
233,NLB073333_01,
234,NLB073374_01,
235,NLB073562_01,
236,NLB073588_01,
237,NLB073672_01,
238,NLB073681_01,
239,NLB073743_01,
240,NLB073771_02,
241,NLB073775_02,
242,NLB073804_02,
243,NLB073929_01,
244,NLB073997_01,
245,NLB074004_01,
246,NLB074048_02,
247,NLB074216_01,
248,NLB074227_01,
249,NLB074246_01,
250,NLB074246_02,
251,NLB074260_02,
252,NLB074276_01,
253,NLB074277_01,
254,NLB074286_01,
255,NLB074334_01,
256,NLB074349_01,
257,NLB074426_02,
258,NLB074433_01,
259,NLB074547_02,
260,NLB074575_01,
261,NLB074583_01,
262,NLB074754_01,
263,NLB074962_01,
264,NLB075018_02,
265,NLB075040_01,
266,NLB075059_01,
267,NLB075063_01,
268,NLB075068_01,
269,NLB075158_01,
270,NLB075176_01,
271,NLB075184_01,
272,NLB075325_01,
273,NLB075325_02,
274,NLB075367_01,
275,NLB075379_01,
276,NLB075551_01,
277,NLB075612_01,
278,NLB075635_01,
279,NLB076128_01,
280,NLB076130_07,
281,NLB076426_01,
282,NLB076625_01,
283,NLB076740_01,
284,NLB111484_01,
285,NLB112123_01,
286,NLB112233_01,
287,NLB134389_01,
288,NLB134480_01,
289,NLB135273_01,
290,NLB141648_01,
291,NLB144072_01,
292,NLB144100_01,
293,NLB145525_01,
294,NLB145856_01,
295,NLB146608_01,
296,NLB147463_01,
297,NLB152784_01,
298,NLB162519_01,
299,NLB167193_01,
