title,Krumhansl-Shmuckler,simple weights,Aarden Essen,Bellman Budge,Temperly Kostka Payne,as transcribed,final_note,freq note,freq weighted acc,certainty,root,expert assigned
"Tureengarbh Jig, The",7,7,7,7,7,7,7,11,2,0.78,7,7
Young And Stylish,9,9,9,2,9,7,9,2,4,0.56,9,9
Fun at the Fair,2,7,2,2,2,7,2,6,9,0.56,2,2
Buckley the Fiddler  (reel),7,7,7,7,7,7,7,11,2,0.78,7,7
Tommy Coen's Reel,4,7,4,0,7,7,7,7,4,0.56,7,7
Lynch's Hornpipe,2,2,2,2,2,2,2,9,2,0.89,2,2
Tuttle's Reel,2,2,2,2,2,2,0,9,0,0.67,2,2
Patrick O'Connor's  (polka),4,9,4,2,4,9,9,9,2,0.44,9,9
Patsy Tuohey's (reel),4,4,4,2,2,4,4,4,11,0.67,4,4
"Beggarman's Reel, The",4,7,4,4,4,4,4,11,11,0.67,4,4
Up and About In the Morning  (slide),2,2,2,2,2,2,2,9,4,0.78,2,2
My Love Between Two Roses (reel),2,2,2,2,2,2,11,2,9,0.78,2,2
Ladies Step Up to Tea!,9,9,9,9,9,9,11,9,9,0.89,9,9
"Old Pigeon on the Gate, The",7,7,7,7,7,7,7,7,11,0.89,7,7
"Curragh Races (reel), The",5,0,5,5,5,9,7,9,0,0.44,5,9
"Geese in the Bog, The 2",2,2,2,2,2,2,11,9,9,0.67,2,2
Mangan's Fancy (reel),2,2,2,2,2,2,2,2,11,0.89,2,2
McDonagh's Reel 1,2,2,2,2,2,2,2,6,9,0.78,2,2
One of Tommy's  (hornpipe),7,7,7,7,7,7,7,7,7,1,7,7
"Listowel Fiddler  (slide), The",2,2,2,2,2,2,2,2,2,1,2,2
John Flynn's Jig,7,7,7,7,7,7,2,2,2,0.67,7,7
"Callan Lasses (reel), The",2,2,2,2,2,2,2,2,2,1,2,2
"Knocknaboul Reel, The",4,11,4,7,7,4,4,11,2,0.44,4,4
Jackson's Post-Chaise,4,7,4,7,7,4,4,7,2,0.44,4,4
Father Skehan's Jig,11,2,11,2,2,2,2,11,11,0.56,2,2
Tom Connors' Jig,2,2,2,2,2,2,2,9,9,0.78,2,2
"Sailor's Bonnet (reel), The",2,11,2,2,2,2,2,6,2,0.78,2,2
"Pomeroy Fiddler  (reel), The",4,4,4,2,2,4,4,4,4,0.78,4,4
Her Golden Hair Was Curling Down,2,2,2,2,2,2,2,2,2,1,2,2
"Frog in the Puddle , The",4,7,4,7,7,7,7,7,11,0.67,7,7
Tap the Barrel (reel),2,7,2,7,2,7,2,2,0,0.56,2,2
"Trip to Durrow (reel), The",11,2,11,2,2,2,2,2,2,0.78,2,2
"Humors of Derrycros(s)ane, The",7,7,7,7,7,7,0,11,11,0.67,7,7
Nine Mile House  (reel),2,2,2,2,2,2,11,2,9,0.78,2,2
"Duke of Leinster Hornpipe, The",7,7,7,7,7,7,7,11,2,0.78,7,7
"Mason's Apron (reel), The",9,9,9,9,9,9,9,1,1,0.78,9,9
Pat O'Beirne's Favorite,7,7,7,7,7,7,7,7,11,0.89,7,7
"Gooseberry Bush (reel), The",7,7,7,7,7,7,2,2,9,0.67,7,2
Carty's Reel,4,4,4,7,7,4,9,11,11,0.44,4,4
Brother Gildas' Jig,2,2,2,2,2,2,2,9,9,0.78,2,2
"Hunter's Purse (reel), The",7,7,7,7,7,9,9,4,0,0.56,7,9
Lord Wellington (reel),4,7,4,7,7,7,4,7,7,0.67,7,7
"Whole Chicken in the Soup (slide), The",7,7,7,7,7,7,7,11,7,0.89,7,7
"Kishkeam Ladies , The",2,2,2,2,2,2,2,9,4,0.78,2,2
Scully Casey's #2,2,2,2,7,2,2,4,2,9,0.67,2,2
Last Night's Fun 2,9,0,9,0,0,7,9,0,0,0.56,0,0
Rolling in the Ryegrass 2 (reel),2,2,2,2,2,2,2,9,9,0.78,2,2
Fitzgerald's (hornpipe),4,7,4,7,7,7,7,11,9,0.56,7,7
"Lady on the Island (reel), The",2,2,2,2,2,2,2,9,4,0.78,2,2
Nonie Stacking Turf  (polka),9,9,9,2,0,9,9,9,0,0.67,9,9
Alexander's March - New Way,2,2,2,2,2,2,9,2,4,0.78,2,2
"Rakes of Drumlish, The",7,0,7,0,7,9,9,7,11,0.44,7,7
"Blacksmith's Fancy (reel),The",2,7,2,2,2,2,2,7,9,0.67,2,2
Buddy Furey's (polka),9,9,9,9,9,9,9,9,1,0.89,9,9
Southwest Wind,2,2,2,2,2,2,2,2,4,0.89,2,2
"Sligo Maid (reel), The",4,7,4,7,7,9,9,7,11,0.44,7,9
Jenny's Welcome to Charlie (reel),2,2,2,2,2,2,2,9,9,0.78,2,2
Father Kelly's Reel,7,7,7,7,7,7,7,9,9,0.78,7,7
"Hurlers' March, The",7,7,7,7,7,7,9,9,2,0.67,7,2
All Round the Room (reel),2,2,2,2,2,2,2,2,2,1,2,2
Tommy Whelan's  (reel),4,7,4,7,7,7,4,7,7,0.67,7,7
Monsignor's Blessing (reel),2,2,2,2,2,2,7,2,2,0.89,2,2
"Pinch of Snuff (reel), The",2,7,2,2,2,2,4,6,7,0.56,2,2
"Bath Medley, The",4,7,4,7,7,7,7,7,2,0.67,7,7
John Colton's (reel),4,4,4,4,4,4,4,11,4,0.89,4,4
"Limerick Hunt , The",2,2,2,2,2,7,2,4,4,0.67,2,2
Pat Kellegher's,4,4,4,4,4,7,9,11,7,0.56,4,7
"Old Oak Tree (reel), The",2,2,2,2,2,2,7,2,6,0.78,2,2
Get Up Old Woman,4,7,4,7,7,4,4,11,7,0.44,4,4
Biddy the Darling (slide),2,2,2,2,2,2,2,2,2,1,2,2
"Steeplechase (reel), The",0,0,0,0,0,0,0,0,7,0.89,0,0
McGuckian's Reel,2,2,2,2,2,4,9,2,11,0.67,2,4
"Humors of Tirconnell  (reel), The",9,9,9,9,9,9,9,1,1,0.78,9,9
"Green Fields of Rossbeigh (reel), The",4,4,4,2,2,4,4,11,11,0.56,4,4
"Bird in the Tree (reel), The",7,7,7,7,7,7,7,11,11,0.78,7,7
"Maid Of Mount Kisco (reel), The",4,2,4,2,7,9,9,9,4,0.33,9,9
Let's Be Drinking!,7,7,7,7,7,7,7,7,0,0.89,7,7
"New Road (reel), The",2,7,2,2,2,7,2,6,2,0.67,2,2
Corney is Coming (reel),2,7,2,7,2,7,2,2,2,0.67,2,2
Humors of Tulla (reel),2,2,2,2,2,2,4,2,2,0.89,2,2
"Miller's Maid (reel), The",11,2,11,2,2,2,6,9,9,0.44,2,2
Take Her Out and Air Her (reel),2,2,2,2,2,2,2,2,6,0.89,2,2
Pleasant to Start,2,2,2,2,2,2,2,6,9,0.78,2,2
O'Callaghan's (reel),4,7,4,7,7,7,11,11,7,0.56,7,7
Happy to Meet,7,7,7,7,7,7,7,11,11,0.78,7,7
"Four Shoves (1) (polka), The",2,2,2,2,2,2,4,2,2,0.89,2,2
"Baker's Reel, The",7,7,7,7,7,7,11,11,11,0.67,7,7
Pat's Parlour,2,2,2,2,2,2,2,2,2,1,2,2
McDonagh's Reel 2,4,4,4,9,2,4,9,11,11,0.44,4,4
Follow Me Down to Carlow,4,9,4,2,4,9,9,9,9,0.56,9,9
Shove Into Me Joanie! (polka),7,7,7,7,7,7,7,2,2,0.78,7,7
"London Lasses (reel), The",4,7,4,7,7,7,6,7,7,0.67,7,7
Nine Points of Roguery (reel),2,2,2,2,2,2,9,2,2,0.89,2,2
"Kerryman's Clog  (hornpipe), The",2,7,2,7,7,7,7,0,0,0.56,7,7
Foynes Jig,2,2,2,2,2,2,2,6,2,0.89,2,2
Anthony Frawley's Jig,7,7,7,7,7,7,9,2,2,0.67,7,7
Rattle the Peas,2,2,2,2,2,2,2,9,9,0.78,2,2
"Priest's Jig, The",4,7,4,7,7,7,7,7,7,0.78,7,7
"Irish Washerwoman, The",7,7,7,7,7,7,7,7,11,0.89,7,7
Frazer's Reel,4,7,4,7,7,7,7,11,2,0.56,7,7
"Tailor's Twist (hornpipe), The",2,2,2,2,2,2,2,4,2,0.89,2,2
"Gurgling of the Churn, The",4,4,4,2,2,4,4,11,11,0.56,4,4
Mamma Nugent's Pet  (reel),2,2,2,2,2,7,2,2,9,0.78,2,2
Faith Then I Will (Said the Fiddler),2,2,2,2,2,2,2,2,2,1,2,2
"Blue Bells (reel), The",4,4,4,2,2,4,2,4,11,0.56,4,4
"Maid in the Rushes (reel), The",7,7,7,7,7,7,6,7,4,0.78,7,7
Scully Casey's #1,9,9,9,7,7,9,9,9,0,0.67,9,9
"Ballinalarkey Maids (reel), The",7,7,7,7,7,7,7,7,7,1,7,7
"Brown Chest, The",2,2,2,2,2,2,2,9,6,0.78,2,2
Jackson's Morning Breeze,2,2,2,2,2,2,2,2,9,0.89,2,2
McCahill's (2) (reel),4,2,4,2,2,2,6,9,11,0.44,2,2
"Setting Sun Jig, The",2,2,2,2,2,2,2,2,9,0.89,2,2
"Otter's Hole (reel), The",2,2,2,2,2,9,11,9,6,0.56,2,9
Tom Billy's Polka,7,7,7,7,7,9,9,11,4,0.56,7,9
"Peeler's Pocket (reel), The",7,7,7,7,7,7,7,11,7,0.89,7,7
Over the Hills and Far Away (polka),7,7,7,7,7,7,7,9,11,0.78,7,7
Jimmy Doyle's Favorite  (polka),7,7,7,7,7,7,7,11,2,0.78,7,7
"Lads of Doocastle (reel), The",2,2,2,2,2,2,2,9,9,0.78,2,2
"Hag with Her Keg on her Shoulder, The",2,7,2,2,2,7,2,2,4,0.67,2,2
"Crosses of Annagh  1 (reel), The",4,7,4,7,7,9,9,7,7,0.56,7,9
Toss the Feathers (reel),4,4,4,4,4,4,2,11,4,0.78,4,4
"Rising Sun (b) (reel), The",2,2,2,2,2,2,2,2,2,1,2,2
Fahy's Reel,2,2,2,2,2,2,2,2,2,1,2,2
Paddy Fahy's Jig 2,2,2,2,2,2,2,2,2,2,1,2,2
"Kerry Border  (polka), The",2,2,2,2,2,2,2,2,11,0.89,2,2
"Spike Island Lasses (reel), The",2,2,2,2,2,7,2,2,9,0.78,2,2
"Sporting Days of Easter (reel), The 2",7,7,7,7,7,7,2,11,2,0.67,7,2
Gillan's Apples,11,2,11,2,2,2,9,2,1,0.56,2,2
"Cup of Tea (reel), The",2,7,2,7,2,7,2,4,7,0.44,2,2
"View from Black Head , The",4,2,4,7,7,7,2,11,2,0.33,2,2
"Ivory Flute, The",7,7,7,7,7,9,9,2,4,0.56,7,7
Father Ahearn's  (reel),2,7,2,7,2,7,7,6,2,0.44,2,7
O'Mahony's Hornpipe,7,7,7,7,7,7,7,11,7,0.89,7,7
"Boat on the Strand , The",7,7,7,7,7,7,7,11,2,0.78,7,7
"Maid Of Mitchelstown (reel), The",2,7,2,7,2,2,4,9,2,0.56,2,2
Lady Doll Sinclair  (reel),4,9,4,2,4,9,9,9,9,0.56,9,9
Johnny Loves Molly,2,2,2,2,2,2,2,2,1,0.89,2,2
"Wind That Shakes the Barley (reel), The",2,2,2,2,2,2,11,2,11,0.78,2,2
"Pride of Cloontia (reel), The",7,7,7,7,7,7,7,11,9,0.78,7,7
"Hag at the Churn , The",7,7,7,7,7,7,2,9,9,0.67,7,2
Tom Rowsome's Slide,7,7,7,7,7,7,7,11,7,0.89,7,7
Top of the Morning (reel),7,7,7,7,7,7,7,7,11,0.89,7,7
O'Connell's Welcome to Dublin,2,2,2,2,2,4,4,9,4,0.56,2,4
Rattle the Quilt,4,7,4,2,7,9,9,7,4,0.33,4,9
"Buck in the Wood, The",7,7,7,7,7,7,7,7,2,0.89,7,7
Francie Donnellan's Reel,9,7,9,7,0,0,2,4,0,0.33,0,2
Munster Buttermilk,2,2,2,2,2,2,2,6,9,0.78,2,2
Mary Ellen's  (hornpipe),7,7,7,7,7,4,7,7,7,0.89,7,7
"Little White Coat, The",7,7,7,7,7,7,7,2,4,0.78,7,7
"Salamanca (reel), The",2,2,2,2,2,2,2,2,2,1,2,2
Lady Gordon's  (reel) 2,2,2,2,2,2,2,9,2,9,0.78,2,2
O'Keeffe's Musical Globe  (slide),2,2,2,2,2,2,2,2,2,1,2,2
"Rising Sun (a3) (reel), The",2,2,2,2,2,2,2,6,2,0.89,2,2
"Upperchurch Polka #1 , The",7,7,7,7,7,7,7,11,6,0.78,7,7
"Little Bag of Potatoes (reel), The",7,2,7,7,7,7,7,2,7,0.78,7,7
Martin Wynne's Reel 1,2,2,2,2,2,2,2,6,6,0.78,2,2
"Humors of Lissadell (reel), The",11,11,11,11,11,4,4,2,4,0.56,11,4
Redhaired Molly,2,2,2,2,2,2,2,2,7,0.89,2,2
Farewell to the Heather (reel),9,9,9,9,9,9,9,11,11,0.78,9,9
Pull the Knife & Stick It Again,4,4,4,9,11,4,4,11,11,0.56,4,4
John Fleming's Slide,4,4,4,4,4,7,2,11,7,0.56,4,7
"Lannamacree Jig, The",7,7,7,7,7,7,2,7,11,0.78,7,7
"Primrose Girl (reel), The",7,7,7,7,7,7,4,11,11,0.67,7,7
"Slow Train to Dublin  (reel), The",2,2,2,2,2,2,2,9,6,0.78,2,2
Larry's Polka,2,2,2,2,2,2,11,2,9,0.78,2,2
"Fair Wind (reel), The",7,7,7,7,7,7,2,9,11,0.67,7,7
Young Mollie Murphy  (polka),9,9,9,9,9,9,9,9,9,1,9,9
I'm Waiting for You (reel),7,7,7,7,7,7,6,7,11,0.78,7,7
