eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,74,0,105
1,73,11,80
2,71,9,80
3,69,7,105
4,69,7,95
5,69,7,95
6,69,7,95
7,71,9,80
8,73,11,80
9,74,0,95
10,66,4,80
11,66,4,80
12,66,4,95
13,67,5,80
14,67,5,80
15,69,7,105
16,69,7,95
17,69,7,95
18,69,7,95
19,67,5,80
20,66,4,80
21,67,5,95
22,64,2,80
23,64,2,80
24,64,2,95
25,66,4,80
26,67,5,80
27,69,7,105
28,69,7,95
29,69,7,95
30,69,7,95
31,71,9,80
32,73,11,80
33,74,0,95
34,76,2,80
35,76,2,80
36,78,4,95
37,76,2,80
38,76,2,80
39,74,0,105
40,73,11,80
41,71,9,80
42,69,7,95
43,71,9,80
44,73,11,80
45,74,0,95
46,74,0,95
47,74,0,95
48,74,0,95
49,73,11,80
50,71,9,80
51,69,7,105
52,69,7,95
53,69,7,95
54,69,7,95
55,71,9,80
56,73,11,80
57,74,0,95
58,66,4,80
59,66,4,80
60,66,4,95
61,67,5,80
62,67,5,80
63,69,7,105
64,69,7,95
65,69,7,95
66,69,7,95
67,67,5,80
68,66,4,80
69,67,5,95
70,64,2,80
71,64,2,80
72,64,2,95
73,66,4,80
74,67,5,80
75,69,7,105
76,69,7,95
77,69,7,95
78,69,7,95
79,71,9,80
80,73,11,80
81,74,0,95
82,76,2,80
83,76,2,80
84,78,4,95
85,76,2,80
86,76,2,80
87,74,0,105
88,73,11,80
89,71,9,80
90,69,7,95
91,71,9,80
92,73,11,80
93,74,0,95
94,74,0,95
95,74,0,95
96,74,0,95
97,76,2,80
98,76,2,80
99,78,4,105
100,78,4,95
101,78,4,95
102,78,4,95
103,76,2,80
104,74,0,80
105,73,11,95
106,69,7,80
107,69,7,80
108,69,7,95
109,74,0,80
110,74,0,80
111,78,4,105
112,76,2,80
113,78,4,80
114,74,0,95
115,76,2,80
116,78,4,80
117,79,5,95
118,78,4,80
119,79,5,80
120,81,7,95
121,79,5,80
122,79,5,80
123,78,4,105
124,76,2,80
125,74,0,80
126,78,4,95
127,76,2,80
128,74,0,80
129,76,2,95
130,78,4,80
131,79,5,80
132,81,7,95
133,79,5,80
134,79,5,80
135,78,4,105
136,76,2,80
137,74,0,80
138,69,7,95
139,71,9,80
140,73,11,80
141,74,0,95
142,74,0,95
143,74,0,95
144,74,0,95
145,76,2,80
146,76,2,80
147,78,4,105
148,78,4,95
149,78,4,95
150,78,4,95
151,76,2,80
152,74,0,80
153,73,11,95
154,69,7,80
155,69,7,80
156,69,7,95
157,74,0,80
158,74,0,80
159,78,4,105
160,76,2,80
161,78,4,80
162,74,0,95
163,76,2,80
164,78,4,80
165,79,5,95
166,78,4,80
167,79,5,80
168,81,7,95
169,79,5,80
170,79,5,80
171,78,4,105
172,76,2,80
173,74,0,80
174,78,4,95
175,76,2,80
176,74,0,80
177,76,2,95
178,78,4,80
179,79,5,80
180,81,7,95
181,79,5,80
182,79,5,80
183,78,4,105
184,76,2,80
185,74,0,80
186,69,7,95
187,71,9,80
188,73,11,80
189,74,0,95
