eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,74,5,105
1,73,4,105
2,69,0,80
3,69,0,80
4,73,4,80
5,74,5,105
6,71,2,80
7,71,2,80
8,76,7,80
9,73,4,105
10,69,0,80
11,69,0,80
12,73,4,80
13,71,2,105
14,64,7,80
15,64,7,80
16,76,7,80
17,73,4,105
18,69,0,80
19,69,0,80
20,73,4,80
21,74,5,105
22,71,2,80
23,71,2,80
24,76,7,80
25,73,4,105
26,69,0,80
27,71,2,80
28,64,7,80
29,69,0,105
30,69,0,80
31,69,0,80
32,71,2,80
33,73,4,105
34,69,0,80
35,69,0,80
36,73,4,80
37,74,5,105
38,71,2,80
39,71,2,80
40,76,7,80
41,73,4,105
42,69,0,80
43,69,0,80
44,73,4,80
45,71,2,105
46,64,7,80
47,64,7,80
48,76,7,80
49,73,4,105
50,69,0,80
51,69,0,80
52,73,4,80
53,74,5,105
54,71,2,80
55,71,2,80
56,76,7,80
57,73,4,105
58,69,0,80
59,71,2,80
60,64,7,80
61,69,0,105
62,69,0,80
63,69,0,80
64,71,2,80
65,73,4,105
66,76,7,80
67,76,7,80
68,76,7,80
69,78,9,105
70,80,11,80
71,81,0,80
72,78,9,80
73,73,4,105
74,76,7,80
75,76,7,80
76,76,7,80
77,71,2,105
78,73,4,80
79,74,5,80
80,71,2,80
81,73,4,105
82,76,7,80
83,76,7,80
84,76,7,80
85,78,9,105
86,80,11,80
87,81,0,80
88,78,9,80
89,73,4,105
90,69,0,80
91,71,2,80
92,64,7,80
93,69,0,105
94,69,0,80
95,69,0,80
96,71,2,80
97,73,4,105
98,76,7,80
99,76,7,80
100,76,7,80
101,78,9,105
102,80,11,80
103,81,0,80
104,78,9,80
105,73,4,105
106,76,7,80
107,76,7,80
108,76,7,80
109,71,2,105
110,73,4,80
111,74,5,80
112,71,2,80
113,73,4,105
114,76,7,80
115,76,7,80
116,76,7,80
117,78,9,105
118,80,11,80
119,81,0,80
120,78,9,80
121,73,4,105
122,69,0,80
123,71,2,80
124,64,7,80
125,69,0,105
