eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,67,5,105
1,66,4,105
2,69,7,80
3,71,9,80
4,74,0,95
5,73,11,80
6,74,0,80
7,76,2,95
8,69,7,80
9,67,5,80
10,69,7,95
11,79,5,80
12,79,5,80
13,78,4,105
14,69,7,80
15,71,9,80
16,74,0,95
17,73,11,80
18,74,0,80
19,76,2,95
20,69,7,80
21,67,5,80
22,69,7,95
23,78,4,105
24,78,4,105
25,78,4,105
26,76,2,80
27,78,4,80
28,79,5,95
29,76,2,80
30,71,9,80
31,74,0,95
32,73,11,80
33,73,11,80
34,74,0,95
35,73,11,80
36,71,9,80
37,69,7,105
38,71,9,80
39,69,7,80
40,67,5,95
41,66,4,80
42,64,2,80
43,62,0,95
44,62,0,95
45,62,0,95
46,62,0,95
47,67,5,80
48,67,5,80
49,66,4,105
50,69,7,80
51,71,9,80
52,74,0,95
53,73,11,80
54,74,0,80
55,76,2,95
56,69,7,80
57,67,5,80
58,69,7,95
59,79,5,80
60,79,5,80
61,78,4,105
62,69,7,80
63,71,9,80
64,74,0,95
65,73,11,80
66,74,0,80
67,76,2,95
68,69,7,80
69,67,5,80
70,69,7,95
71,78,4,105
72,78,4,105
73,78,4,105
74,76,2,80
75,78,4,80
76,79,5,95
77,76,2,80
78,71,9,80
79,74,0,95
80,73,11,80
81,73,11,80
82,74,0,95
83,73,11,80
84,71,9,80
85,69,7,105
86,71,9,80
87,69,7,80
88,67,5,95
89,66,4,80
90,64,2,80
91,62,0,95
92,62,0,95
93,62,0,95
94,62,0,95
95,79,5,80
96,79,5,80
97,81,7,105
98,83,9,80
99,83,9,80
100,81,7,95
101,79,5,80
102,79,5,80
103,78,4,95
104,81,7,80
105,78,4,80
106,76,2,95
107,78,4,80
108,74,0,80
109,76,2,105
110,74,0,80
111,76,2,80
112,76,2,95
113,74,0,80
114,76,2,80
115,79,5,95
116,78,4,80
117,76,2,80
118,74,0,95
119,73,11,80
120,71,9,80
121,69,7,105
122,81,7,95
123,81,7,95
124,81,7,95
125,79,5,80
126,79,5,80
127,78,4,95
128,79,5,80
129,81,7,80
130,76,2,95
131,78,4,80
132,74,0,80
133,76,2,105
134,74,0,80
135,76,2,80
136,79,5,95
137,78,4,80
138,76,2,80
139,74,0,95
140,74,0,95
141,74,0,95
142,74,0,95
143,79,5,80
144,79,5,80
145,81,7,105
146,83,9,80
147,83,9,80
148,81,7,95
149,79,5,80
150,79,5,80
151,78,4,95
152,81,7,80
153,78,4,80
154,76,2,95
155,78,4,80
156,74,0,80
157,76,2,105
158,74,0,80
159,76,2,80
160,76,2,95
161,74,0,80
162,76,2,80
163,79,5,95
164,78,4,80
165,76,2,80
166,74,0,95
167,73,11,80
168,71,9,80
169,69,7,105
170,81,7,95
171,81,7,95
172,81,7,95
173,79,5,80
174,79,5,80
175,78,4,95
176,79,5,80
177,81,7,80
178,76,2,95
179,78,4,80
180,74,0,80
181,76,2,105
182,74,0,80
183,76,2,80
184,79,5,95
185,78,4,80
186,76,2,80
187,74,0,95
