eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,69,7,105
1,66,4,80
2,67,5,105
3,66,4,80
4,64,2,80
5,62,0,80
6,66,4,95
7,69,7,80
8,69,7,80
9,66,4,80
10,67,5,105
11,66,4,80
12,67,5,80
13,69,7,80
14,71,9,95
15,69,7,80
16,71,9,80
17,73,11,80
18,74,0,105
19,73,11,80
20,71,9,80
21,69,7,80
22,71,9,95
23,69,7,80
24,67,5,80
25,66,4,80
26,71,9,105
27,64,2,80
28,64,2,80
29,64,2,95
30,64,2,95
31,69,7,80
32,69,7,80
33,66,4,80
34,67,5,105
35,66,4,80
36,64,2,80
37,62,0,80
38,66,4,95
39,69,7,80
40,69,7,80
41,66,4,80
42,67,5,105
43,66,4,80
44,67,5,80
45,69,7,80
46,71,9,95
47,74,0,80
48,76,2,80
49,78,4,80
50,79,5,105
51,78,4,80
52,76,2,80
53,74,0,80
54,73,11,95
55,74,0,80
56,76,2,80
57,79,5,80
58,78,4,105
59,74,0,80
60,74,0,80
61,74,0,95
62,74,0,95
63,69,7,80
64,69,7,80
65,66,4,80
66,67,5,105
67,66,4,80
68,64,2,80
69,62,0,80
70,66,4,95
71,69,7,80
72,69,7,80
73,66,4,80
74,67,5,105
75,66,4,80
76,67,5,80
77,69,7,80
78,71,9,95
79,69,7,80
80,71,9,80
81,73,11,80
82,74,0,105
83,73,11,80
84,71,9,80
85,69,7,80
86,71,9,95
87,69,7,80
88,67,5,80
89,66,4,80
90,71,9,105
91,64,2,80
92,64,2,80
93,64,2,95
94,64,2,95
95,69,7,80
96,69,7,80
97,66,4,80
98,67,5,105
99,66,4,80
100,64,2,80
101,62,0,80
102,66,4,95
103,69,7,80
104,69,7,80
105,66,4,80
106,67,5,105
107,66,4,80
108,67,5,80
109,69,7,80
110,71,9,95
111,74,0,80
112,76,2,80
113,78,4,80
114,79,5,105
115,78,4,80
116,76,2,80
117,74,0,80
118,73,11,95
119,74,0,80
120,76,2,80
121,79,5,80
122,78,4,105
123,74,0,80
124,74,0,80
125,74,0,95
126,74,0,95
127,69,7,80
128,69,7,80
129,73,11,80
130,74,0,105
131,78,4,80
132,74,0,80
133,71,9,80
134,73,11,95
135,76,2,80
136,73,11,80
137,69,7,80
138,71,9,105
139,73,11,80
140,74,0,80
141,73,11,80
142,71,9,95
143,69,7,80
144,67,5,80
145,66,4,80
146,67,5,105
147,69,7,80
148,71,9,80
149,73,11,80
150,74,0,95
151,73,11,80
152,71,9,80
153,69,7,80
154,71,9,105
155,64,2,80
156,64,2,80
157,64,2,95
158,64,2,95
159,69,7,105
160,69,7,105
161,73,11,80
162,74,0,105
163,78,4,80
164,74,0,80
165,71,9,80
166,73,11,95
167,76,2,80
168,73,11,80
169,69,7,80
170,71,9,105
171,73,11,80
172,74,0,80
173,71,9,80
174,69,7,95
175,78,4,80
176,78,4,80
177,79,5,105
178,79,5,105
179,78,4,80
180,76,2,80
181,74,0,80
182,73,11,95
183,74,0,80
184,76,2,80
185,79,5,80
186,78,4,105
187,74,0,80
188,74,0,80
189,74,0,95
190,74,0,95
191,69,7,80
192,69,7,80
193,73,11,80
194,74,0,105
195,78,4,80
196,74,0,80
197,71,9,80
198,73,11,95
199,76,2,80
200,73,11,80
201,69,7,80
202,71,9,105
203,73,11,80
204,74,0,80
205,73,11,80
206,71,9,95
207,69,7,80
208,67,5,80
209,66,4,80
210,67,5,105
211,69,7,80
212,71,9,80
213,73,11,80
214,74,0,95
215,73,11,80
216,71,9,80
217,69,7,80
218,71,9,105
219,64,2,80
220,64,2,80
221,64,2,95
222,64,2,95
223,73,11,105
224,73,11,105
225,76,2,80
226,78,4,105
227,78,4,80
228,78,4,80
229,74,0,80
230,76,2,95
231,76,2,80
232,76,2,80
233,73,11,80
234,74,0,105
235,73,11,80
236,74,0,80
237,71,9,80
238,69,7,95
239,78,4,80
240,78,4,80
241,79,5,105
242,79,5,105
243,78,4,80
244,76,2,80
245,74,0,80
246,73,11,95
247,74,0,80
248,76,2,80
249,79,5,80
250,78,4,105
251,74,0,80
252,74,0,80
253,74,0,95
254,74,0,95
