eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,67,3,105
1,69,5,80
2,71,7,105
3,64,0,80
4,64,0,80
5,62,10,80
6,64,0,95
7,62,10,80
8,62,10,80
9,64,0,80
10,67,3,105
11,64,0,80
12,62,10,80
13,59,7,80
14,62,10,95
15,67,3,80
16,67,3,80
17,69,5,80
18,71,7,105
19,64,0,80
20,64,0,80
21,62,10,80
22,64,0,95
23,62,10,80
24,62,10,80
25,64,0,80
26,67,3,105
27,69,5,80
28,71,7,80
29,67,3,80
30,69,5,95
31,67,3,80
32,67,3,80
33,69,5,80
34,71,7,105
35,64,0,80
36,64,0,80
37,62,10,80
38,64,0,95
39,62,10,80
40,62,10,80
41,64,0,80
42,67,3,105
43,64,0,80
44,62,10,80
45,59,7,80
46,62,10,95
47,67,3,80
48,67,3,80
49,69,5,80
50,71,7,105
51,64,0,80
52,64,0,80
53,62,10,80
54,64,0,95
55,62,10,80
56,62,10,80
57,64,0,80
58,67,3,105
59,69,5,80
60,71,7,80
61,67,3,80
62,69,5,95
63,71,7,80
64,71,7,80
65,69,5,80
66,67,3,105
67,67,3,80
68,67,3,80
69,66,2,80
70,67,3,95
71,71,7,80
72,74,10,80
73,71,7,80
74,72,8,105
75,71,7,80
76,69,5,80
77,71,7,80
78,72,8,95
79,74,10,80
80,76,0,80
81,72,8,80
82,71,7,105
83,67,3,80
84,67,3,80
85,71,7,80
86,67,3,95
87,71,7,80
88,74,10,80
89,71,7,80
90,67,3,105
91,69,5,80
92,71,7,80
93,67,3,80
94,69,5,95
95,67,3,80
96,64,0,80
97,66,2,80
98,62,10,105
99,67,3,80
100,69,5,80
101,67,3,95
102,67,3,95
103,71,7,80
104,74,10,80
105,71,7,80
106,72,8,105
107,71,7,80
108,69,5,80
109,71,7,80
110,72,8,95
111,74,10,80
112,76,0,80
113,81,5,80
114,79,3,105
115,76,0,80
116,74,10,80
117,71,7,80
118,72,8,95
119,74,10,80
120,79,3,80
121,76,0,80
122,74,10,105
123,71,7,80
124,67,3,80
125,71,7,80
126,69,5,95
