,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,67,0,2,105,7,0,7,0,0,0,0
2,62,3,2,95,2,-2,7,-5,7,-1,-1
4,67,6,2,95,7,3,7,0,0,1,0
6,71,9,2,95,11,2,7,4,4,1,1
8,72,12,1,105,0,1,7,5,5,1,2
11,71,15,2,95,11,2,7,4,4,-1,1
13,69,18,2,95,9,2,7,2,2,-1,0
15,64,21,1,95,4,-3,7,-3,9,-1,-1
18,67,24,2,105,7,3,7,0,0,1,0
20,62,27,2,95,2,-2,7,-5,7,-1,-1
22,67,30,2,95,7,3,7,0,0,1,0
24,71,33,2,95,11,2,7,4,4,1,1
26,74,36,2,105,2,3,7,7,7,1,2
28,69,39,1,95,9,-2,7,2,2,-1,1
31,67,42,3,95,7,-2,7,0,0,-1,0
32,67,45,3,95,7,0,7,0,0,0,0
33,67,48,2,105,7,0,7,0,0,0,0
35,62,51,2,95,2,-2,7,-5,7,-1,-1
37,67,54,2,95,7,3,7,0,0,1,0
39,71,57,2,95,11,2,7,4,4,1,1
41,72,60,1,105,0,1,7,5,5,1,2
44,71,63,2,95,11,2,7,4,4,-1,1
46,69,66,2,95,9,2,7,2,2,-1,0
48,64,69,1,95,4,-3,7,-3,9,-1,-1
51,67,72,2,105,7,3,7,0,0,1,0
53,62,75,2,95,2,-2,7,-5,7,-1,-1
55,67,78,2,95,7,3,7,0,0,1,0
57,71,81,2,95,11,2,7,4,4,1,1
59,74,84,2,105,2,3,7,7,7,1,2
61,69,87,1,95,9,-2,7,2,2,-1,1
64,67,90,3,95,7,-2,7,0,0,-1,0
65,67,93,3,95,7,0,7,0,0,0,0
66,76,96,1,105,4,9,7,9,9,1,1
69,74,99,2,95,2,-5,7,7,7,-1,0
71,72,102,2,95,0,1,7,5,5,-1,-1
73,74,105,2,95,2,-2,7,7,7,1,0
75,74,108,2,105,2,0,7,7,7,0,0
77,69,111,2,95,9,-2,7,2,2,-1,-1
79,64,114,2,95,4,-3,7,-3,9,-1,-2
81,69,117,3,95,9,0,7,2,2,1,-1
82,76,120,1,105,4,7,7,9,9,1,0
85,74,123,2,95,2,-5,7,7,7,-1,-1
87,72,126,2,95,0,1,7,5,5,-1,-2
89,74,129,2,95,2,-2,7,7,7,1,-1
91,74,132,2,105,2,0,7,7,7,0,-1
93,69,135,1,95,9,-2,7,2,2,-1,-2
96,67,138,3,95,7,-2,7,0,0,-1,-3
97,67,141,3,95,7,0,7,0,0,0,-3
98,76,144,1,105,4,9,7,9,9,1,-2
101,74,147,2,95,2,-5,7,7,7,-1,-3
103,72,150,2,95,0,1,7,5,5,-1,-4
105,74,153,2,95,2,-2,7,7,7,1,-3
107,74,156,2,105,2,0,7,7,7,0,-3
109,69,159,2,95,9,-2,7,2,2,-1,-4
111,64,162,2,95,4,-3,7,-3,9,-1,-5
113,69,165,1,95,9,0,7,2,2,1,-4
116,67,168,2,105,7,-2,7,0,0,-1,-5
118,62,171,2,95,2,-2,7,-5,7,-1,-6
120,67,174,2,95,7,3,7,0,0,1,-5
122,71,177,2,95,11,2,7,4,4,1,-4
124,74,180,2,105,2,0,7,7,7,1,-3
126,69,183,1,95,9,-2,7,2,2,-1,-4
129,67,186,3,95,7,-2,7,0,0,-1,-5
130,67,189,3,95,7,0,7,0,0,0,-5
