,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
287,45,110,1,80,9,-12,7,-22,2,-1,10
288,57,112,1,75,9,12,7,-10,2,1,11
289,45,114,1,80,9,-12,7,-22,2,-1,10
290,57,116,1,75,9,12,7,-10,2,1,11
291,45,118,1,80,9,-12,7,-22,2,-1,10
292,57,120,1,75,9,12,7,-10,2,1,11
293,45,122,1,80,9,-12,7,-22,2,-1,10
294,57,124,1,75,9,12,7,-10,2,1,11
295,45,126,1,80,9,-12,7,-22,2,-1,10
296,57,128,1,75,9,12,7,-10,2,1,11
297,45,130,1,80,9,-12,7,-22,2,-1,10
298,57,132,1,75,9,12,7,-10,2,1,11
299,45,134,1,80,9,-12,7,-22,2,-1,10
300,57,136,1,75,9,12,7,-10,2,1,11
301,45,138,1,80,9,-12,7,-22,2,-1,10
302,57,140,1,75,9,12,7,-10,2,1,11
303,45,142,1,80,9,-12,7,-22,2,-1,10
304,57,144,1,75,9,12,7,-10,2,1,11
305,45,146,1,80,9,-12,7,-22,2,-1,10
306,57,148,1,75,9,12,7,-10,2,1,11
307,45,150,1,80,9,-12,7,-22,2,-1,10
308,57,152,1,75,9,12,7,-10,2,1,11
309,45,154,1,80,9,-12,7,-22,2,-1,10
310,57,156,1,75,9,12,7,-10,2,1,11
311,45,158,1,80,9,-12,7,-22,2,-1,10
312,57,160,1,75,9,12,7,-10,2,1,11
313,45,162,1,80,9,-12,7,-22,2,-1,10
314,57,164,1,75,9,12,7,-10,2,1,11
315,45,166,1,80,9,-12,7,-22,2,-1,10
316,57,168,1,75,9,12,7,-10,2,1,11
317,45,170,1,80,9,-12,7,-22,2,-1,10
318,57,172,1,75,9,12,7,-10,2,1,11
319,45,174,1,80,9,-12,7,-22,2,-1,10
320,57,176,1,75,9,12,7,-10,2,1,11
321,45,178,1,80,9,-12,7,-22,2,-1,10
322,57,180,1,75,9,12,7,-10,2,1,11
323,45,182,1,80,9,-12,7,-22,2,-1,10
324,57,184,1,75,9,12,7,-10,2,1,11
325,45,186,1,80,9,-12,7,-22,2,-1,10
326,57,188,1,75,9,12,7,-10,2,1,11
327,45,190,1,80,9,-12,7,-22,2,-1,10
328,57,192,1,75,9,12,7,-10,2,1,11
329,45,194,1,80,9,-12,7,-22,2,-1,10
330,57,196,1,75,9,12,7,-10,2,1,11
331,45,198,1,80,9,-12,7,-22,2,-1,10
332,57,200,1,75,9,12,7,-10,2,1,11
333,45,202,1,80,9,-12,7,-22,2,-1,10
334,57,204,1,75,9,12,7,-10,2,1,11
335,45,206,1,80,9,-12,7,-22,2,-1,10
336,57,208,1,75,9,12,7,-10,2,1,11
337,45,210,1,80,9,-12,7,-22,2,-1,10
338,57,212,1,75,9,12,7,-10,2,1,11
339,45,214,1,80,9,-12,7,-22,2,-1,10
340,57,216,1,75,9,12,7,-10,2,1,11
341,45,218,1,80,9,-12,7,-22,2,-1,10
342,57,220,1,75,9,12,7,-10,2,1,11
343,45,222,1,80,9,-12,7,-22,2,-1,10
344,57,224,1,75,9,12,7,-10,2,1,11
345,45,226,1,80,9,-12,7,-22,2,-1,10
346,57,228,1,75,9,12,7,-10,2,1,11
347,45,230,1,80,9,-12,7,-22,2,-1,10
348,57,232,1,75,9,12,7,-10,2,1,11
349,45,234,1,80,9,-12,7,-22,2,-1,10
350,57,236,1,75,9,12,7,-10,2,1,11
351,45,238,1,80,9,-12,7,-22,2,-1,10
352,57,240,1,75,9,12,7,-10,2,1,11
353,45,242,1,80,9,-12,7,-22,2,-1,10
354,57,244,1,75,9,12,7,-10,2,1,11
355,45,246,1,80,9,-12,7,-22,2,-1,10
356,57,248,1,75,9,12,7,-10,2,1,11
357,45,250,1,80,9,-12,7,-22,2,-1,10
358,57,252,1,75,9,12,7,-10,2,1,11
359,45,254,1,80,9,-12,7,-22,2,-1,10
