,title,count
0,Lord McDonald's (reel),11
1,Tim Mulloney's (reel),9
2,"Piper's Lord McDonald (reel), The",9
3,Antrim Rose (reel),9
4,"Repeal of the Union (reel), The",8
5,"Russians Are Coming (reel), The",8
6,Ganley's Jig,8
7,"Humors of Ross, The",7
8,"Monasterevin Fancy (reel), The",7
9,"Templeglantine Reel 2, The",7
10,Rolling in the Ryegrass 2 (reel),7
11,McDonagh's Reel 1,7
12,"Rathmore Farmer , The",7
13,"Waterford Girls, The",7
14,"Fall of Snow , The",7
15,My Love is Such a Fair One (reel),7
16,"Geese in the Bog, The",7
17,Martin Wynne's Reel 1,7
18,"Primrose Girl (reel), The",7
19,"Humors of Multyfarnham, The",7
20,Miss Cox (reel),7
21,"Belfast Boat, The",7
22,Green-Gowned Lass (reel),7
23,Rolling in the Ryegrass 1 (reel),6
24,Killoran's 1 (polka),6
25,Pat Ward's (slide),6
26,Biddy the Darling (slide),6
27,Taidhg My Darling (reel),6
28,"Bright May Moon (reel), The",6
29,Travers' Reel,6
30,"Mountain Lark (reel), The",6
31,Ballykeal Jig,6
32,Paddy O'Brien's Hornpipe,6
33,Mulqueen's (hornpipe),6
34,"Bucks of Oranmore (reel), The",6
35,"Cuckoo Hornpipe , The",6
36,Devaney's Goat (reel),6
37,Mister Henry's Single Jig,6
38,Bashful Bachelor 1 (hornpipe),6
39,Kiss the Maid Behind the Barrel (reel),6
40,"View from Black Head , The",5
41,Wise Nora,5
42,Tonra's Jig,5
43,I'd Rather Be Married than Left,5
44,"Kishkeam Ladies , The",5
45,Lord Banff's Reel,5
46,Going to the Races,5
47,Within a Mile of Dublin (reel),5
48,Ashmolean House (reel),5
49,Lord Gordon (reel),5
50,"Rose in the Heather, The",5
51,"Newpuck Reel, The",5
52,Jerry Joe & George  (polka),5
53,Quinn's Reel 1,5
54,Peacock's Feather 2 (hornpipe),5
55,Flowers of Doocastle  (reel),5
56,"Duke of Leinster (reel), The",5
57,Your Mother's Fair Pet (reel),5
58,Fun at the Fair,5
59,Berkshire Heights (reel),5
60,James McMahon's Jig,5
61,Miss Monaghan's (reel),5
62,Farewell to Leitrim  (reel),5
63,"Cat that Ate the Candle (reel), The",4
64,Miss Johnston (reel),4
65,Pat's Parlour,4
66,"Satin Slipper Reel [1], The",4
67,O'Flynn's Fancy (reel),4
68,Cronin's Hornpipe,4
69,I Have No Money (reel),4
70,"Maid Of Mount Kisco (reel), The",4
71,Rattle the Peas,4
72,"Wicklow Mountains, The",4
73,"Pipe on the Hob, The",4
74,Dusty Miller,4
75,Porter or Buttermilk  (hornpipe),4
76,Dillon's Reel,4
77,"Limerick Hunt , The",4
78,"Fairhaired Boy (reel), The",4
79,Boil the Kettle Early (reel),4
80,"Railroad (reel), The",4
81,Johnny O'Leary's  (polka),4
82,Biddy Martin (polka),4
83,"Aghavas Reel 2, The",4
84,"Silly Old Man, The",4
85,Carmel Mahoney Mulhaire (reel),4
86,Ireland Forever,4
87,"Dairymaid (reel), The",4
88,"Piper's Favorite (reel), The",4
89,O'Keeffe's Musical Globe  (slide),4
90,Gannon's Delight,3
91,Gusty's Frolics,3
92,"Merry Harriers (reel), The",3
93,Chain the Pony,3
94,"Plains of Boyle (hornpipe), The",3
95,Upstairs with You (slide),3
96,East Of Galway,3
97,Rip the Calico  (reel),3
98,Fahy's Jig,3
99,"White Cockade (polka), The",3
100,I'd Rather Be Married than Left (slide),3
