,Hamming distance (weighted)
NLB073311_01,26.0
NLB112115_01,26.0
NLB073681_01,26.0
NLB074860_01,26.0
NLB145856_01,26.0
NLB071958_01,26.0
NLB070521_01,26.0
NLB074613_02,26.0
NLB070693_01,26.0
NLB073709_01,26.0
NLB076211_01,26.0
NLB070463_01,26.0
NLB075079_01,27.0
NLB072003_01,27.0
NLB072015_01,27.0
NLB074452_01,27.0
NLB074182_01,27.0
NLB070740_01,27.0
NLB075021_01,27.0
NLB074426_02,27.0
NLB075635_01,27.0
NLB146699_01,27.0
NLB072754_01,27.0
NLB072565_01,27.0
NLB074260_02,27.0
NLB147463_01,27.0
NLB072154_01,27.0
NLB073404_01,27.0
NLB070801_01,27.0
NLB141648_01,27.0
NLB072254_01,27.0
NLB072457_01,27.0
NLB072505_01,27.0
NLB075771_02,27.0
NLB076625_01,27.0
NLB074234_01,28.0
NLB111478_01,28.0
NLB070532_01,28.0
NLB073374_01,28.0
NLB073626_01,28.0
NLB074157_01,28.0
NLB071014_01,28.0
NLB074028_01,28.0
NLB074954_01,28.0
NLB072946_01,28.0
NLB073897_01,28.0
NLB072450_01,28.0
NLB074948_01,28.0
NLB076495_01,28.0
NLB074575_01,28.0
NLB070144_01,28.0
NLB073562_01,28.0
NLB072837_01,28.0
NLB074593_01,28.0
NLB070238_01,28.0
NLB072497_01,28.0
NLB075318_01,28.0
NLB071227_01,28.0
NLB144072_01,28.0
NLB070141_01,28.0
NLB073516_01,28.0
NLB070122_01,28.0
NLB075158_01,28.0
NLB070053_01,28.0
NLB070089_01,28.0
NLB112210_01,28.0
NLB072288_01,28.0
NLB072287_01,28.0
NLB071237_01,28.0
NLB072284_01,28.0
NLB072378_01,28.0
NLB072255_01,28.0
NLB073743_01,28.0
NLB073146_01,28.0
NLB073788_01,28.0
NLB074161_01,28.0
NLB073895_01,28.0
NLB076258_01,28.0
NLB073992_01,28.0
NLB073754_02,28.0
NLB072286_01,28.0
NLB073946_01,28.0
NLB072897_01,28.0
NLB070096_01,28.0
NLB134389_01,29.0
NLB146728_01,29.0
NLB074104_01,29.0
NLB124573_01,29.0
NLB075176_01,29.0
NLB073426_01,29.0
NLB073277_01,29.0
NLB072638_01,29.0
NLB112123_01,29.0
NLB073822_01,29.0
NLB072289_01,29.0
NLB073998_01,29.0
NLB074769_02,29.0
NLB072103_01,29.0
NLB072664_01,29.0
NLB074443_01,29.0
NLB076632_01,29.0
NLB073888_01,29.0
NLB071064_01,29.0
NLB073333_01,29.0
NLB074433_01,29.0
NLB167193_01,29.0
NLB073298_01,29.0
NLB070475_01,29.0
NLB070732_01,29.0
NLB074100_01,29.0
NLB072920_01,29.0
NLB070535_01,29.0
NLB075551_01,29.0
NLB074336_01,29.0
NLB141407_01,29.0
NLB072851_02,29.0
NLB072257_01,29.0
NLB076118_01,29.0
NLB072898_01,29.0
NLB071082_01,29.0
NLB071016_01,30.0
NLB073031_01,30.0
NLB072482_01,30.0
NLB141649_01,30.0
NLB075739_03,30.0
NLB072283_01,30.0
NLB075057_01,30.0
NLB075034_01,30.0
NLB072898_02,30.0
NLB073775_02,30.0
NLB075035_01,30.0
NLB072624_01,30.0
NLB075073_01,30.0
NLB074754_01,30.0
NLB143240_01,30.0
NLB074077_02,30.0
NLB111760_01,30.0
NLB076130_07,30.0
NLB076076_01,30.0
NLB146741_01,30.0
NLB074547_02,30.0
NLB074470_01,30.0
NLB075273_01,30.0
NLB074038_01,30.0
NLB075184_01,30.0
NLB162519_01,30.0
NLB070748_01,30.0
NLB073393_01,30.0
NLB111484_01,30.0
NLB134474_01,30.0
NLB162526_01,30.0
NLB076426_01,30.0
NLB073672_01,30.0
NLB071369_01,30.0
NLB075013_01,30.0
NLB070137_01,31.0
NLB072441_01,31.0
NLB075325_02,31.0
NLB075191_01,31.0
NLB072587_02,31.0
NLB073958_01,31.0
NLB070996_01,31.0
NLB072895_01,31.0
NLB075742_01,31.0
