,NLB015569_01
NLB075040_01,0.758
NLB074349_01,0.758
NLB134480_01,0.758
NLB073298_01,0.758
NLB073939_01,0.758
NLB071958_01,0.758
NLB074004_01,0.758
NLB124573_01,0.758
NLB074547_02,0.758
NLB073822_01,0.758
NLB073879_02,0.758
NLB072567_01,0.758
NLB072284_01,0.758
NLB072441_01,0.758
NLB141251_01,0.758
NLB070134_01,0.758
NLB072255_01,0.758
NLB076211_01,0.758
NLB076258_01,0.758
NLB071082_01,0.758
NLB075174_01,0.758
NLB072288_01,0.758
NLB075551_01,0.758
NLB075739_03,0.788
NLB073754_02,0.788
NLB073997_01,0.788
NLB072360_01,0.788
NLB072285_01,0.788
NLB072754_01,0.788
NLB073803_01,0.788
NLB111484_01,0.788
NLB075612_01,0.788
NLB076632_01,0.788
NLB070740_01,0.788
NLB075525_01,0.788
NLB074583_01,0.788
NLB138219_01,0.788
NLB134474_01,0.788
NLB070078_01,0.788
NLB072378_01,0.788
NLB075742_01,0.788
NLB072708_01,0.788
NLB073076_01,0.788
NLB074754_01,0.788
NLB076740_01,0.788
NLB072286_01,0.788
NLB070079_01,0.788
NLB075249_01,0.788
NLB072357_01,0.788
NLB070748_01,0.788
NLB073210_01,0.788
NLB072015_01,0.788
NLB135273_01,0.788
NLB070996_01,0.788
NLB075064_01,0.788
NLB074954_01,0.788
NLB072306_01,0.788
NLB074227_01,0.788
NLB072897_01,0.788
NLB072553_01,0.788
NLB072862_01,0.788
NLB074246_02,0.8184
NLB111760_01,0.8184
NLB074161_01,0.8184
NLB074336_01,0.8184
NLB072154_01,0.8184
NLB071014_01,0.8184
NLB074443_01,0.8184
NLB146728_01,0.8184
NLB074433_01,0.8184
NLB071974_02,0.8184
NLB072585_01,0.8184
NLB076271_01,0.8184
NLB070839_01,0.8184
NLB074962_01,0.8184
NLB073998_01,0.8184
NLB072565_01,0.8184
NLB072895_01,0.8184
NLB072355_12,0.8184
NLB074840_01,0.8184
NLB073150_01,0.8184
NLB073804_02,0.8184
NLB076303_01,0.8184
NLB073311_01,0.8184
NLB073743_01,0.8184
NLB074437_01,0.8184
NLB072253_01,0.8184
NLB074333_01,0.8184
NLB070526_01,0.8184
NLB073992_01,0.8184
NLB073946_01,0.8184
NLB074276_01,0.8184
NLB074007_01,0.8184
NLB073331_01,0.8184
NLB074552_01,0.8184
NLB074216_01,0.8184
NLB073897_01,0.8184
NLB070492_01,0.8184
NLB074334_01,0.8184
NLB072665_01,0.8184
NLB074948_01,0.8184
NLB074938_01,0.8486
NLB143240_01,0.8486
NLB070606_01,0.8486
NLB072103_01,0.8486
NLB070360_01,0.8486
NLB074309_01,0.8486
NLB075063_01,0.8486
NLB072624_01,0.8486
NLB073991_02,0.8486
NLB074234_01,0.8486
NLB073958_01,0.8486
NLB073277_01,0.8486
NLB073994_01,0.8486
NLB073337_02,0.8486
NLB073788_01,0.8486
NLB152784_01,0.8486
NLB075059_01,0.8486
NLB071064_01,0.8486
NLB070463_01,0.8486
NLB072500_01,0.8486
NLB073750_01,0.8486
NLB074603_01,0.8486
NLB072482_01,0.8486
NLB073486_01,0.8486
NLB071669_01,0.8486
NLB074182_01,0.8486
NLB162526_01,0.8486
NLB075065_01,0.8486
NLB072587_01,0.8486
NLB070475_01,0.8486
NLB072688_01,0.8486
NLB073404_01,0.8486
NLB070411_01,0.8486
NLB075318_01,0.8486
NLB073588_01,0.8486
NLB073120_01,0.8486
NLB073287_01,0.8486
NLB072257_01,0.8486
NLB073516_01,0.879
NLB070493_01,0.879
NLB125421_01,0.879
NLB075021_01,0.879
NLB072085_01,0.879
NLB076130_07,0.879
NLB075616_01,0.879
NLB074426_02,0.879
NLB072355_02,0.879
NLB074261_01,0.879
NLB072287_01,0.879
NLB074328_01,0.879
NLB071478_01,0.879
NLB071237_01,0.879
NLB073269_02,0.879
NLB070033_01,0.879
NLB074104_01,0.879
NLB075309_02,0.879
NLB111478_01,0.879
NLB070801_01,0.879
NLB072721_01,0.879
NLB072774_02,0.879
NLB073990_01,0.879
NLB075057_01,0.879
NLB071369_01,0.879
NLB073775_02,0.909
NLB141648_01,0.909
NLB075881_02,0.909
NLB074427_01,0.909
NLB073626_01,0.909
NLB073888_01,0.909
NLB072250_01,0.909
NLB074166_01,0.909
NLB073146_01,0.909
NLB072851_02,0.909
NLB075156_01,0.909
NLB141649_01,0.909
NLB074308_01,0.909
NLB075325_01,0.909
NLB076118_01,0.909
NLB146608_01,0.909
NLB074342_01,0.909
NLB075158_01,0.909
NLB072587_02,0.909
NLB070137_01,0.909
NLB070125_01,0.909
NLB070732_01,0.909
NLB074156_03,0.909
NLB125427_01,0.909
NLB070238_01,0.909
NLB075831_01,0.909
NLB072912_01,0.909
NLB073426_01,0.909
NLB075018_02,0.909
NLB074840_02,0.909
NLB072355_01,0.9395
NLB074593_01,0.9395
NLB076128_01,0.9395
NLB074378_02,0.9395
NLB075167_01,0.9395
NLB074769_01,0.9395
NLB073681_01,0.9395
NLB073672_01,0.9395
NLB072499_01,0.9395
NLB074452_01,0.9395
NLB073685_01,0.9395
NLB074672_01,0.9395
NLB072559_01,0.9395
NLB112123_01,0.9697
NLB074048_02,0.9697
NLB152778_01,0.9697
NLB073225_01,0.9697
NLB074260_01,0.9697
NLB073628_01,0.9697
NLB072505_01,0.9697
NLB072248_01,0.9697
NLB072690_01,0.9697
NLB144072_01,0.9697
NLB074277_01,0.9697
NLB074390_01,1.0
