,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
145,78,173,1,80,6,2,2,16,4,1,11
146,76,174,2,105,4,-2,2,14,2,-1,10
147,78,176,1,80,6,2,2,16,4,1,11
148,76,177,1,95,4,-2,2,14,2,-1,10
149,78,178,1,80,6,2,2,16,4,1,11
150,79,179,1,80,7,1,2,17,5,1,12
151,81,180,1,105,9,2,2,19,7,1,13
152,79,181,1,80,7,-2,2,17,5,-1,12
153,78,182,1,80,6,-1,2,16,4,-1,11
154,79,183,1,95,7,1,2,17,5,1,12
155,78,184,1,80,6,-1,2,16,4,-1,11
156,76,185,1,80,4,-2,2,14,2,-1,10
157,74,186,1,105,2,-2,2,12,0,-1,9
158,78,187,1,80,6,4,2,16,4,1,10
159,76,188,1,80,4,-2,2,14,2,-1,9
160,74,189,1,95,2,-2,2,12,0,-1,8
161,73,190,1,80,1,-1,2,11,11,-1,7
162,71,191,1,80,11,-2,2,9,9,-1,6
