eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,73,4,105
1,74,5,80
2,76,7,105
3,81,0,80
4,81,0,80
5,69,0,80
6,69,0,95
7,71,2,80
8,69,0,80
9,66,9,80
10,64,7,105
11,66,9,80
12,69,0,80
13,71,2,80
14,73,4,95
15,71,2,80
16,69,0,80
17,73,4,80
18,71,2,105
19,71,2,80
20,71,2,80
21,71,2,80
22,71,2,95
23,69,0,80
24,69,0,80
25,73,4,80
26,71,2,105
27,73,4,80
28,74,5,80
29,76,7,80
30,78,9,95
31,76,7,80
32,73,4,80
33,76,7,80
34,81,0,105
35,78,9,80
36,76,7,80
37,73,4,80
38,69,0,95
39,71,2,80
40,69,0,80
41,68,11,80
42,66,9,105
43,68,11,80
44,69,0,80
45,71,2,80
46,73,4,95
47,71,2,80
48,69,0,80
49,73,4,80
50,74,5,105
51,73,4,80
52,74,5,80
53,76,7,80
54,78,9,95
55,81,0,80
56,81,0,80
57,78,9,80
58,76,7,105
59,74,5,80
60,73,4,80
61,71,2,80
62,69,0,95
63,73,4,80
64,73,4,80
65,74,5,80
66,76,7,105
67,81,0,80
68,81,0,80
69,69,0,80
70,69,0,95
71,71,2,80
72,69,0,80
73,66,9,80
74,64,7,105
75,66,9,80
76,69,0,80
77,71,2,80
78,73,4,95
79,71,2,80
80,69,0,80
81,73,4,80
82,71,2,105
83,71,2,80
84,71,2,80
85,71,2,80
86,71,2,95
87,69,0,80
88,69,0,80
89,73,4,80
90,71,2,105
91,73,4,80
92,74,5,80
93,76,7,80
94,78,9,95
95,76,7,80
96,73,4,80
97,76,7,80
98,81,0,105
99,78,9,80
100,76,7,80
101,73,4,80
102,69,0,95
103,71,2,80
104,69,0,80
105,68,11,80
106,66,9,105
107,68,11,80
108,69,0,80
109,71,2,80
110,73,4,95
111,71,2,80
112,69,0,80
113,73,4,80
114,74,5,105
115,73,4,80
116,74,5,80
117,76,7,80
118,78,9,95
119,81,0,80
120,81,0,80
121,78,9,80
122,76,7,105
123,74,5,80
124,73,4,80
125,71,2,80
126,69,0,95
127,69,0,80
128,69,0,80
129,71,2,80
130,73,4,105
131,69,0,80
132,76,7,80
133,69,0,80
134,73,4,95
135,69,0,80
136,76,7,80
137,81,0,80
138,73,4,105
139,69,0,80
140,73,4,80
141,69,0,80
142,81,0,95
143,78,9,80
144,76,7,80
145,73,4,80
146,74,5,105
147,73,4,80
148,78,9,80
149,74,5,80
150,81,0,95
151,74,5,80
152,78,9,80
153,73,4,80
154,74,5,105
155,76,7,80
156,78,9,80
157,80,11,80
158,81,0,95
159,78,9,80
160,74,5,80
161,74,5,80
162,73,4,105
163,69,0,80
164,76,7,80
165,81,0,80
166,78,9,95
167,81,0,80
168,76,7,80
169,74,5,80
170,73,4,105
171,69,0,80
172,73,4,80
173,76,7,80
174,78,9,95
175,76,7,80
176,76,7,80
177,73,4,80
178,71,2,105
179,73,4,80
180,74,5,80
181,76,7,80
182,78,9,95
183,81,0,80
184,81,0,80
185,78,9,80
186,76,7,105
187,73,4,80
188,71,2,80
189,68,11,80
190,69,0,95
191,69,0,80
192,69,0,80
193,71,2,80
194,73,4,105
195,69,0,80
196,76,7,80
197,69,0,80
198,73,4,95
199,69,0,80
200,76,7,80
201,81,0,80
202,73,4,105
203,69,0,80
204,73,4,80
205,69,0,80
206,81,0,95
207,78,9,80
208,76,7,80
209,73,4,80
210,74,5,105
211,73,4,80
212,78,9,80
213,74,5,80
214,81,0,95
215,74,5,80
216,78,9,80
217,73,4,80
218,74,5,105
219,76,7,80
220,78,9,80
221,80,11,80
222,81,0,95
223,78,9,80
224,74,5,80
225,74,5,80
226,73,4,105
227,69,0,80
228,76,7,80
229,81,0,80
230,78,9,95
231,81,0,80
232,76,7,80
233,74,5,80
234,73,4,105
235,69,0,80
236,73,4,80
237,76,7,80
238,78,9,95
239,76,7,80
240,76,7,80
241,73,4,80
242,71,2,105
243,73,4,80
244,74,5,80
245,76,7,80
246,78,9,95
247,81,0,80
248,81,0,80
249,78,9,80
250,76,7,105
251,73,4,80
252,71,2,80
253,68,11,80
254,69,0,95
