eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,69,7,105
1,71,9,105
2,73,11,80
3,71,9,80
4,69,7,95
5,67,5,80
6,67,5,80
7,66,4,95
8,62,0,80
9,62,0,80
10,62,0,95
11,67,5,80
12,67,5,80
13,66,4,105
14,62,0,80
15,62,0,80
16,69,7,95
17,67,5,80
18,67,5,80
19,66,4,95
20,62,0,80
21,62,0,80
22,62,0,95
23,69,7,80
24,69,7,80
25,71,9,105
26,73,11,80
27,71,9,80
28,69,7,95
29,67,5,80
30,67,5,80
31,66,4,95
32,62,0,80
33,62,0,80
34,62,0,95
35,66,4,80
36,66,4,80
37,67,5,105
38,66,4,80
39,66,4,80
40,64,2,95
41,71,9,80
42,73,11,80
43,74,0,95
44,71,9,105
45,71,9,105
46,71,9,105
47,71,9,105
48,71,9,105
49,71,9,105
50,73,11,80
51,71,9,80
52,69,7,95
53,67,5,80
54,67,5,80
55,66,4,95
56,62,0,80
57,62,0,80
58,62,0,95
59,67,5,80
60,67,5,80
61,66,4,105
62,62,0,80
63,62,0,80
64,69,7,95
65,67,5,80
66,67,5,80
67,66,4,95
68,62,0,80
69,62,0,80
70,62,0,95
71,69,7,80
72,69,7,80
73,71,9,105
74,73,11,80
75,71,9,80
76,69,7,95
77,67,5,80
78,67,5,80
79,66,4,95
80,62,0,80
81,62,0,80
82,62,0,95
83,66,4,80
84,66,4,80
85,67,5,105
86,66,4,80
87,66,4,80
88,64,2,95
89,71,9,80
90,73,11,80
91,74,0,95
92,73,11,80
93,73,11,80
94,73,11,80
95,73,11,80
96,73,11,80
97,74,0,105
98,62,0,80
99,62,0,80
100,73,11,95
101,69,7,80
102,69,7,80
103,71,9,95
104,64,2,80
105,64,2,80
106,64,2,95
107,67,5,80
108,67,5,80
109,66,4,105
110,62,0,80
111,62,0,80
112,74,0,95
113,67,5,80
114,67,5,80
115,66,4,95
116,62,0,80
117,62,0,80
118,62,0,95
119,73,11,80
120,73,11,80
121,74,0,105
122,62,0,80
123,62,0,80
124,73,11,95
125,69,7,80
126,69,7,80
127,71,9,95
128,64,2,80
129,64,2,80
130,64,2,95
131,66,4,80
132,66,4,80
133,67,5,105
134,66,4,80
135,66,4,80
136,64,2,95
137,71,9,80
138,73,11,80
139,74,0,95
140,74,0,105
141,74,0,105
142,74,0,105
143,74,0,105
144,74,0,105
145,74,0,105
146,62,0,80
147,62,0,80
148,73,11,95
149,69,7,80
150,69,7,80
151,71,9,95
152,64,2,80
153,64,2,80
154,64,2,95
155,67,5,80
156,67,5,80
157,66,4,105
158,62,0,80
159,62,0,80
160,74,0,95
161,67,5,80
162,67,5,80
163,66,4,95
164,62,0,80
165,62,0,80
166,62,0,95
167,73,11,80
168,73,11,80
169,74,0,105
170,62,0,80
171,62,0,80
172,73,11,95
173,69,7,80
174,69,7,80
175,71,9,95
176,64,2,80
177,64,2,80
178,64,2,95
179,66,4,80
180,66,4,80
181,67,5,105
182,66,4,80
183,66,4,80
184,64,2,95
185,71,9,80
186,73,11,80
187,74,0,95
