eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,69,7,105
1,67,5,80
2,66,4,105
3,69,7,80
4,69,7,80
5,71,9,95
6,71,9,95
7,69,7,80
8,66,4,80
9,69,7,80
10,74,0,105
11,78,4,80
12,76,2,80
13,74,0,80
14,71,9,95
15,74,0,80
16,69,7,80
17,67,5,80
18,66,4,105
19,69,7,80
20,69,7,80
21,71,9,95
22,71,9,95
23,69,7,80
24,66,4,80
25,69,7,80
26,74,0,105
27,78,4,80
28,76,2,80
29,74,0,80
30,71,9,95
31,74,0,80
32,69,7,80
33,67,5,80
34,66,4,105
35,69,7,80
36,69,7,80
37,71,9,95
38,71,9,95
39,69,7,80
40,66,4,80
41,69,7,80
42,74,0,105
43,78,4,80
44,76,2,80
45,74,0,80
46,71,9,95
47,69,7,80
48,71,9,80
49,74,0,80
50,79,5,105
51,76,2,80
52,76,2,80
53,76,2,80
54,78,4,95
55,78,4,80
56,78,4,80
57,76,2,80
58,74,0,105
59,78,4,80
60,76,2,80
61,74,0,80
62,71,9,95
63,69,7,80
64,69,7,80
65,69,7,80
66,66,4,105
67,69,7,80
68,69,7,80
69,69,7,80
70,71,9,95
71,69,7,80
72,66,4,80
73,69,7,80
74,74,0,105
75,78,4,80
76,76,2,80
77,74,0,80
78,71,9,95
79,74,0,80
80,69,7,80
81,66,4,80
82,66,4,105
83,69,7,80
84,69,7,80
85,69,7,80
86,71,9,95
87,69,7,80
88,66,4,80
89,69,7,80
90,74,0,105
91,78,4,80
92,76,2,80
93,74,0,80
94,71,9,95
95,69,7,80
96,69,7,80
97,67,5,80
98,66,4,105
99,69,7,80
100,69,7,80
101,71,9,95
102,71,9,95
103,69,7,80
104,66,4,80
105,69,7,80
106,74,0,105
107,78,4,80
108,76,2,80
109,74,0,80
110,71,9,95
111,69,7,80
112,71,9,80
113,74,0,80
114,79,5,105
115,76,2,80
116,76,2,80
117,76,2,80
118,78,4,95
119,76,2,80
120,76,2,80
121,76,2,80
122,74,0,105
123,78,4,80
124,76,2,80
125,74,0,80
126,71,9,95
127,69,7,80
128,69,7,80
129,79,5,80
130,81,7,80
131,81,7,80
132,83,9,95
133,83,9,95
134,79,5,80
135,81,7,80
136,78,4,80
137,74,0,105
138,76,2,80
139,78,4,80
140,74,0,80
141,71,9,95
142,74,0,80
143,74,0,80
144,79,5,80
145,78,4,105
146,81,7,80
147,81,7,80
148,83,9,95
149,83,9,95
150,79,5,80
151,81,7,80
152,78,4,80
153,79,5,105
154,78,4,80
155,76,2,80
156,74,0,80
157,71,9,95
158,69,7,80
159,69,7,80
160,79,5,80
161,79,5,80
162,81,7,80
163,81,7,80
164,83,9,95
165,83,9,95
166,79,5,80
167,81,7,80
168,78,4,80
169,79,5,105
170,78,4,80
171,76,2,80
172,74,0,80
173,71,9,95
174,69,7,80
175,71,9,80
176,74,0,80
177,79,5,105
178,76,2,80
179,76,2,80
180,76,2,80
181,78,4,95
182,79,5,80
183,78,4,80
184,76,2,80
185,74,0,105
186,78,4,80
187,76,2,80
188,74,0,80
189,71,9,95
190,69,7,80
191,69,7,80
192,79,5,80
193,78,4,105
194,81,7,80
195,81,7,80
196,83,9,95
197,83,9,95
198,79,5,80
199,81,7,80
200,78,4,80
201,74,0,105
202,76,2,80
203,78,4,80
204,74,0,80
205,71,9,95
206,74,0,80
207,74,0,80
208,79,5,80
209,78,4,105
210,81,7,80
211,81,7,80
212,83,9,95
213,83,9,95
214,79,5,80
215,81,7,80
216,78,4,80
217,79,5,105
218,76,2,80
219,78,4,80
220,74,0,80
221,71,9,95
222,69,7,80
223,69,7,80
224,79,5,80
225,78,4,105
226,81,7,80
227,81,7,80
228,83,9,95
229,83,9,95
230,79,5,80
231,81,7,80
232,78,4,80
233,79,5,105
234,76,2,80
235,78,4,80
236,74,0,80
237,71,9,95
238,69,7,80
239,71,9,80
240,74,0,80
241,79,5,105
242,76,2,80
243,76,2,80
244,76,2,80
245,78,4,95
246,78,4,80
247,78,4,80
248,76,2,80
249,74,0,105
250,78,4,80
251,76,2,80
252,74,0,80
253,71,9,95
254,69,7,80
255,69,7,80
