eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,79,0,105
1,76,9,80
2,74,7,105
3,71,4,80
4,71,4,80
5,67,0,80
6,74,7,95
7,67,0,80
8,71,4,80
9,67,0,80
10,74,7,105
11,71,4,80
12,71,4,80
13,67,0,80
14,76,9,95
15,78,11,80
16,79,0,80
17,76,9,80
18,74,7,105
19,71,4,80
20,71,4,80
21,67,0,80
22,74,7,95
23,67,0,80
24,71,4,80
25,67,0,80
26,72,5,105
27,71,4,80
28,69,2,80
29,71,4,80
30,72,5,95
31,74,7,80
32,79,0,80
33,76,9,80
34,74,7,105
35,71,4,80
36,71,4,80
37,67,0,80
38,74,7,95
39,67,0,80
40,71,4,80
41,67,0,80
42,74,7,105
43,71,4,80
44,71,4,80
45,67,0,80
46,76,9,95
47,78,11,80
48,79,0,80
49,76,9,80
50,74,7,105
51,71,4,80
52,71,4,80
53,67,0,80
54,74,7,95
55,67,0,80
56,71,4,80
57,67,0,80
58,72,5,105
59,71,4,80
60,69,2,80
61,71,4,80
62,72,5,95
63,71,4,80
64,71,4,80
65,72,5,80
66,74,7,105
67,79,0,80
68,79,0,80
69,74,7,95
70,74,7,95
71,79,0,80
72,76,9,80
73,79,0,80
74,74,7,105
75,79,0,80
76,79,0,80
77,74,7,95
78,74,7,95
79,71,4,80
80,71,4,80
81,72,5,80
82,74,7,105
83,79,0,80
84,79,0,80
85,74,7,95
86,74,7,95
87,76,9,80
88,78,11,80
89,76,9,80
90,74,7,105
91,72,5,80
92,69,2,80
93,71,4,80
94,72,5,95
95,71,4,80
96,71,4,80
97,72,5,80
98,74,7,105
99,79,0,80
100,79,0,80
101,74,7,95
102,74,7,95
103,79,0,80
104,76,9,80
105,79,0,80
106,74,7,105
107,79,0,80
108,79,0,80
109,74,7,95
110,74,7,95
111,71,4,80
112,71,4,80
113,72,5,80
114,74,7,105
115,79,0,80
116,79,0,80
117,81,2,95
118,81,2,95
119,79,0,80
120,79,0,80
121,78,11,80
122,74,7,105
123,72,5,80
124,69,2,80
125,71,4,80
126,72,5,95
127,74,7,80
