eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,67,10,105
1,69,0,80
2,71,2,105
3,67,10,80
4,67,10,80
5,64,7,80
6,62,5,95
7,64,7,80
8,67,10,80
9,69,0,80
10,71,2,105
11,67,10,80
12,67,10,80
13,69,0,80
14,67,10,95
15,64,7,80
16,62,5,80
17,67,10,80
18,71,2,105
19,67,10,80
20,67,10,80
21,64,7,80
22,62,5,95
23,64,7,80
24,67,10,80
25,79,10,80
26,79,10,105
27,76,7,80
28,74,5,80
29,71,2,80
30,69,0,95
31,67,10,80
32,67,10,80
33,69,0,80
34,71,2,105
35,67,10,80
36,67,10,80
37,64,7,80
38,62,5,95
39,64,7,80
40,67,10,80
41,69,0,80
42,71,2,105
43,67,10,80
44,67,10,80
45,69,0,80
46,67,10,95
47,64,7,80
48,62,5,80
49,67,10,80
50,71,2,105
51,67,10,80
52,67,10,80
53,64,7,80
54,62,5,95
55,64,7,80
56,67,10,80
57,79,10,80
58,79,10,105
59,76,7,80
60,74,5,80
61,71,2,80
62,69,0,95
63,69,0,80
64,69,0,80
65,71,2,105
66,71,2,105
67,74,5,80
68,74,5,80
69,67,10,80
70,71,2,95
71,67,10,80
72,74,5,80
73,67,10,80
74,71,2,105
75,74,5,80
76,74,5,80
77,71,2,80
78,69,0,95
79,67,10,80
80,67,10,80
81,69,0,80
82,71,2,105
83,74,5,80
84,74,5,80
85,67,10,80
86,71,2,95
87,67,10,80
88,74,5,80
89,67,10,80
90,71,2,105
91,72,3,80
92,71,2,80
93,69,0,80
94,67,10,95
95,64,7,80
96,64,7,80
97,71,2,105
98,71,2,105
99,74,5,80
100,74,5,80
101,67,10,80
102,71,2,95
103,67,10,80
104,74,5,80
105,67,10,80
106,71,2,105
107,74,5,80
108,74,5,80
109,71,2,80
110,69,0,95
111,67,10,80
112,67,10,80
113,69,0,80
114,71,2,105
115,74,5,80
116,76,7,80
117,78,9,80
118,79,10,95
119,79,10,80
120,79,10,80
121,76,7,105
122,76,7,105
123,79,10,80
124,74,5,80
125,71,2,80
126,69,0,95
