,Cosine similarity
NLB073326_01,0.0
NLB072886_02,0.0
NLB072851_01,0.0
NLB074468_01,0.0
NLB075309_02,0.0
NLB074227_01,0.0
NLB072862_01,0.0
NLB073992_01,0.0
NLB072482_01,0.0
NLB072920_01,0.0
NLB141649_01,0.0
NLB135273_01,0.0
NLB072967_01,0.0
NLB072015_01,0.0
NLB072627_01,0.0
NLB073210_01,0.0
NLB074277_01,0.0
NLB074613_02,0.0
NLB146741_01,0.0
NLB070096_01,0.0
NLB072898_02,0.0
NLB152784_01,0.0
NLB071082_01,0.0
NLB072288_01,0.0
NLB070053_01,0.0
NLB075273_01,0.0
NLB071669_01,0.0
NLB075013_01,0.0
NLB075742_01,0.0
NLB074308_01,0.0
NLB070411_01,0.0
NLB162526_01,0.0
NLB074216_01,0.0
NLB134480_01,0.0
NLB072754_01,0.0
NLB073685_01,0.0
NLB073990_01,0.0
NLB071958_01,0.0
NLB070535_01,0.0
NLB072284_01,0.0
NLB076118_01,0.0
NLB073404_01,0.0
NLB146608_01,0.0
NLB073324_01,0.0
NLB072691_01,0.0
NLB072306_01,0.0
NLB072457_01,0.0
NLB074547_02,0.0
NLB075532_01,0.0
NLB074754_01,0.0
NLB075551_01,0.0
NLB074166_01,0.0
NLB073750_01,0.0
NLB112210_01,0.0
NLB075191_01,0.0
NLB070493_01,0.0
NLB074672_01,0.0
NLB073486_01,0.0
NLB074603_01,0.0
NLB070079_01,0.0
NLB072253_01,0.0
NLB075249_01,0.0
NLB074286_01,0.0
NLB071478_01,0.0
NLB071237_01,0.0
NLB074007_01,0.0
NLB145856_01,0.0
