,title,root
0,"Tureengarbh Jig, The",2
1,Young And Stylish,9
2,Fun at the Fair,2
3,Buckley the Fiddler  (reel),7
4,Tommy Coen's Reel,7
5,Lynch's Hornpipe,2
6,Tuttle's Reel,2
7,Patrick O'Connor's  (polka),9
8,Patsy Tuohey's (reel),4
9,"Beggarman's Reel, The",4
10,Up and About In the Morning  (slide),2
11,My Love Between Two Roses (reel),2
12,Ladies Step Up to Tea!,9
13,"Old Pigeon on the Gate, The",7
14,"Curragh Races (reel), The",7
15,Mangan's Fancy (reel),2
16,McDonagh's Reel 1,2
17,One of Tommy's  (hornpipe),7
18,"Listowel Fiddler  (slide), The",2
19,John Flynn's Jig,7
20,"Callan Lasses (reel), The",2
21,"Knocknaboul Reel, The",4
22,Jackson's Post-Chaise,4
23,Father Skehan's Jig,2
24,Tom Connors' Jig,2
25,"Sailor's Bonnet (reel), The",2
26,"Pomeroy Fiddler  (reel), The",4
27,Her Golden Hair Was Curling Down,2
28,"Frog in the Puddle , The",7
29,Tap the Barrel (reel),2
30,"Trip to Durrow (reel), The",2
31,"Humors of Derrycros(s)ane, The",7
32,Nine Mile House  (reel),2
33,"Duke of Leinster Hornpipe, The",7
34,"Mason's Apron (reel), The",9
35,Pat O'Beirne's Favorite,7
36,"Gooseberry Bush (reel), The",2
37,Carty's Reel,4
38,Brother Gildas' Jig,2
39,"Hunter's Purse (reel), The",9
40,Lord Wellington (reel),7
41,Paddy Fahy's Jig(1),2
42,"Whole Chicken in the Soup (slide), The",7
43,"Kishkeam Ladies , The",2
44,Scully Casey's #2,2
45,Rolling in the Ryegrass 2 (reel),2
46,Fitzgerald's (hornpipe),7
47,"Lady on the Island (reel), The",2
48,Nonie Stacking Turf  (polka),9
49,Alexander's March - New Way,2
50,"Rakes of Drumlish, The",7
51,"Blacksmith's Fancy (reel),The",2
52,Buddy Furey's (polka),9
53,Southwest Wind,2
54,"Sligo Maid (reel), The",9
55,Jenny's Welcome to Charlie (reel),2
56,Father Kelly's Reel,7
57,"Hurlers' March, The",2
58,All Round the Room (reel),2
59,Tommy Whelan's  (reel),7
60,Monsignor's Blessing (reel),2
61,"Pinch of Snuff (reel), The",2
62,"Bath Medley, The",7
63,John Colton's (reel),4
64,"Limerick Hunt , The",2
65,Toss the Feathers (reel)(1),4
66,Pat Kellegher's,7
67,"Old Oak Tree (reel), The",2
68,Get Up Old Woman,4
69,Biddy the Darling (slide),2
70,"Steeplechase (reel), The",0
71,McGuckian's Reel,4
72,"Humors of Tirconnell  (reel), The",9
73,"Green Fields of Rossbeigh (reel), The",4
74,"Bird in the Tree (reel), The",7
75,"Maid Of Mount Kisco (reel), The",9
76,Let's Be Drinking!,7
77,"New Road (reel), The",2
78,Corney is Coming (reel),2
79,Humors of Tulla (reel),2
80,"Miller's Maid (reel), The",2
81,Take Her Out and Air Her (reel),2
82,Pleasant to Start,2
83,O'Callaghan's (reel),7
84,Happy to Meet,7
85,"Four Shoves (1) (polka), The",2
86,"Baker's Reel, The",7
87,Pat's Parlour,2
88,McDonagh's Reel 2,4
89,Follow Me Down to Carlow,9
90,Shove Into Me Joanie! (polka),7
91,"London Lasses (reel), The",7
92,Nine Points of Roguery (reel),2
93,"Kerryman's Clog  (hornpipe), The",7
94,Foynes Jig,2
95,Anthony Frawley's Jig,7
96,Rattle the Peas,2
97,"Priest's Jig, The",7
98,"Irish Washerwoman, The",7
99,Frazer's Reel,7
100,"Tailor's Twist (hornpipe), The",2
101,"Gurgling of the Churn, The",4
102,Mamma Nugent's Pet  (reel),2
103,Faith Then I Will (Said the Fiddler),2
104,"Blue Bells (reel), The",4
105,"Maid in the Rushes (reel), The",7
106,Scully Casey's #1,9
107,"Ballinalarkey Maids (reel), The",7
108,"Brown Chest, The",2
109,Jackson's Morning Breeze,2
110,McCahill's (2) (reel),2
111,"Setting Sun Jig, The",2
112,"Otter's Hole (reel), The",9
113,Tom Billy's Polka,9
114,"Peeler's Pocket (reel), The",7
115,Over the Hills and Far Away (polka),7
116,Jimmy Doyle's Favorite  (polka),7
117,"Lads of Doocastle (reel), The",2
118,"Hag with Her Keg on her Shoulder, The",2
119,"Crosses of Annagh  1 (reel), The",9
120,Toss the Feathers (reel),4
121,"Rising Sun (b) (reel), The",2
122,Fahy's Reel,2
123,"Kerry Border  (polka), The",2
124,"Spike Island Lasses (reel), The",2
125,Gillan's Apples,2
126,"Cup of Tea (reel), The",2
127,"View from Black Head , The",2
128,"Ivory Flute, The",7
129,Father Ahearn's  (reel),7
130,O'Mahony's Hornpipe,7
131,"Boat on the Strand , The",7
132,"Maid Of Mitchelstown (reel), The",2
133,Lady Doll Sinclair  (reel),9
134,Johnny Loves Molly,2
135,"Wind That Shakes the Barley (reel), The",2
136,"Pride of Cloontia (reel), The",7
137,"Hag at the Churn , The",2
138,Tom Rowsome's Slide,7
139,Top of the Morning (reel),7
140,O'Connell's Welcome to Dublin,4
141,Rattle the Quilt,9
142,"Buck in the Wood, The",7
143,Francie Donnellan's Reel,2
144,Munster Buttermilk,2
145,Mary Ellen's  (hornpipe),7
146,"Little White Coat, The",7
147,"Salamanca (reel), The",2
148,O'Keeffe's Musical Globe  (slide),2
149,"Rising Sun (a3) (reel), The",2
150,"Upperchurch Polka #1 , The",7
151,"Little Bag of Potatoes (reel), The",7
152,Martin Wynne's Reel 1,2
153,"Humors of Lissadell (reel), The",4
154,Redhaired Molly,2
155,Farewell to the Heather (reel),9
156,Pull the Knife & Stick It Again,4
157,John Fleming's Slide,7
158,"Lannamacree Jig, The",7
159,"Primrose Girl (reel), The",7
160,"Slow Train to Dublin  (reel), The",2
161,Larry's Polka,2
162,"Fair Wind (reel), The",7
163,Young Mollie Murphy  (polka),9
164,I'm Waiting for You (reel),7
165,McKiernan's Reel,4
166,Con's Limerick Lasses (reel),0
167,"Silly Old Man, The",7
168,Osborn's #5 (polka),7
169,"Crimlin Cat (reel), The",9
170,"College Grove (reel), The",2
171,Johnny O'Leary's  (polka),2
172,Kennaw's (reel),2
173,"Hare's Foot (reel), The",7
174,Mulqueen's (hornpipe),7
175,"Longford Collector (reel), The",7
176,"Basket of Turf, The",4
177,Murphy from Wexford,2
178,O'Callaghan's Hornpipe,7
179,"Lamp in the Window  (reel), The",7
180,John Potts' Reel,7
181,"Tee-Ree Reel, The",9
