,index,as transcribed,freq note,freq acc,freq weighted note,freq weighted acc
159,PriestsJigThe,7,7,2,7,7
160,WholeChickenintheSoupslideThe,7,11,7,7,7
161,JuniorsMouse,7,7,10,7,10
162,RoundtheWorldreel,4,11,11,11,11
163,Regans,2,6,7,6,7
164,GlassloughReelThe,7,11,2,11,2
165,SeanMcGovernspolka,2,2,2,2,2
166,BuddyFureyspolka,9,9,1,9,1
167,PipersFavoritereelThe,7,7,11,11,11
168,FlowersofRedHillreelThe,2,9,11,9,11
169,DinnyMescallsSlide,7,11,7,11,7
170,PadraigOKeeffesSlide2,2,6,4,6,4
171,HowFartoEnnisreel,7,11,0,11,0
172,JerryJoeGeorgepolka,7,4,9,2,9
173,PipersWeddingreelThe,7,7,7,7,7
174,RavelledHankofYarnreelThe,7,7,2,2,2
175,IsYourWalletMadeofSilkslide,7,7,11,7,11
176,MerryBoysofForereelThe,7,2,0,2,2
177,MossyBanksareelThe,9,9,0,9,0
178,PrideofSlieveAughtyThe,7,11,2,11,2
179,SweepsHornpipeThe,7,6,4,4,4
180,BagofSpudsreelThe,9,11,9,4,9
181,SixpennyMoney,2,2,6,9,9
182,JacksonsWalktoLimerick,2,9,9,9,9
183,IFurnishedUpMyHousehpipe,9,9,4,11,4
184,CrossesofAnnagh1reelThe,9,7,7,7,7
185,MisterFlynnsFavoriteReel,2,6,6,2,6
186,LittleBagofPotatoesreelThe,7,2,11,7,7
187,OldTipperary,7,7,0,7,0
188,WindThatShakestheBarleyreelThe,2,2,11,2,11
189,AutumnLeavesreelThe,4,4,2,11,2
190,YoungMollieMurphypolka,9,9,9,9,9
191,TempleglantineReel2The,7,2,9,2,9
192,PaddyFahysReel1,0,0,0,7,0
193,BanksoftheHudsonreelThe,7,11,11,11,11
194,MonksJigThe,9,9,0,4,4
195,MovingBogsreelThe,7,7,7,11,7
196,TommyCoensReel,7,7,9,7,4
197,LoughillHornpipeThe,7,7,9,7,0
198,LordMcDonaldsreel,7,7,2,7,2
199,BanardJigThe,2,2,2,2,2
200,Osborns5polka,7,7,7,7,7
201,JoeKilmurrysJig,4,6,9,11,11
