,index,as transcribed,freq note,freq acc,freq weighted note,freq weighted acc
590,BoysofThomastownThe,7,9,11,9,11
591,FloggingReel,7,11,11,11,11
592,CroninsFavorite,9,4,4,4,4
593,McCahills2reel,2,9,11,9,11
594,JohnDohertysReel2,9,0,4,9,4
595,LondonLassesreelThe,7,7,7,7,7
596,HagWiththeMoneyThe,2,9,9,9,9
597,DucksintheOatsThe,7,2,0,2,9
598,KishkeamLadiesThe,2,9,9,2,4
599,MaidofHolywellreelThe,2,2,2,2,2
600,MistontheRiverhornpipeThe,7,7,7,7,7
601,PaddyORafferty1,2,6,2,6,2
602,MoheravoguereelThe,9,11,7,11,7
603,FoxhunterReel,9,1,4,1,4
604,LadyfromBaltimorereelThe,7,7,7,7,7
605,MickeyConnellsHornpipe,7,0,2,0,2
606,KidThe,7,11,2,11,7
607,FarrellOGarareel,2,6,11,6,9
608,WillyReidys2polka,7,11,11,11,11
609,BeanaTiArLarreel,2,1,9,9,9
610,BrothersPipesreel,2,9,9,9,9
611,GoingtotheRaces,7,11,11,11,11
612,AlexandersMarch,4,4,4,7,4
613,MaryoftheGrovereel,4,11,11,11,11
614,UnionReelThe,9,9,4,9,4
615,GerryCommanesreel,7,2,9,6,9
616,SkylarkreelThe,2,6,6,6,6
617,MillersDaughter2reelThe,7,11,7,11,7
618,FairhairedBoyThe,9,9,4,9,4
619,KillannansFancyreel,7,7,7,11,7
620,GinleysFancyreel,7,4,4,11,4
621,SailorsBonnetreelThe,2,6,2,6,2
622,FatherKellysReel,7,2,11,7,11
623,OldJohns,9,9,0,9,0
624,SettingoftheSunreelThe,2,2,2,2,2
625,PipeontheHobThe,7,2,2,2,4
626,MaidOfMitchelstownreelThe,2,9,9,9,2
627,LimerickHuntThe,2,2,2,4,4
628,ConcertinaReelThe,2,9,11,9,11
629,YellowWattleThe,7,7,9,7,9
630,DillonsReel,7,2,7,2,7
631,BridalPolkaThe,2,2,9,9,9
632,DragHerAroundtheRoadreel,4,11,7,7,7
633,PrayerIsBetterThanaTuneA,9,4,4,4,4
634,RisingSunbreelThe,2,2,2,2,2
635,TomBillys,2,9,4,9,4
636,ShoemakersFancyThe,7,2,0,2,2
637,TempleglantineReel1The,9,9,1,4,1
638,RussiansAreComingreelThe,7,0,2,0,2
639,TriptoDurrowreelThe,2,2,2,2,2
640,DennisCroninsJig,2,11,9,11,1
641,BellesofStLouisreel,7,7,11,7,11
642,NewPostOfficereelThe,2,2,6,2,6
643,UnfortunateRakeThe,4,4,2,4,2
644,MulloysReel,2,6,6,6,6
645,JollySevenreel,9,0,0,0,0
646,DevaneysGoatreel,2,6,9,2,9
647,BiddytheDarlingslide,2,2,9,2,2
648,CurraghRacesreelThe,7,9,10,9,10
649,DancingMastersReelpolkaThe,7,9,7,4,7
650,KisstheBrideinBedreel,2,6,9,2,9
651,MissRamseyreel,2,2,2,2,2
652,LandsofScotlandThe,7,9,7,9,7
653,TriptoYorkshireThe,7,11,7,11,2
654,BathMedleyThe,7,7,9,7,9
655,HarbourstownHousereel,7,11,7,11,7
656,MissLaceyshornpipe,7,7,11,11,11
657,AngryPeelerThe,7,9,11,9,11
658,ThrushintheBushThe,7,9,9,9,9
659,RedhairedMolly,2,2,7,2,7
660,MyWifesMyOwn,9,9,11,9,11
661,OldSlipperShoereelThe,7,2,9,2,9
