eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,67,0,105
1,69,2,105
2,69,2,105
3,67,0,80
4,67,0,80
5,67,0,80
6,69,2,95
7,71,4,80
8,72,5,80
9,74,7,80
10,76,9,105
11,78,11,80
12,76,9,80
13,74,7,80
14,72,5,95
15,69,2,80
16,69,2,80
17,71,4,80
18,72,5,105
19,72,5,80
20,72,5,80
21,69,2,80
22,71,4,95
23,71,4,80
24,71,4,80
25,67,0,80
26,69,2,105
27,72,5,80
28,71,4,80
29,69,2,80
30,67,0,95
31,64,9,80
32,64,9,80
33,62,7,80
34,69,2,105
35,67,0,80
36,67,0,80
37,67,0,80
38,69,2,95
39,71,4,80
40,71,4,80
41,74,7,80
42,76,9,105
43,78,11,80
44,76,9,80
45,74,7,80
46,72,5,95
47,69,2,80
48,69,2,80
49,79,0,105
50,79,0,105
51,78,11,80
52,78,11,80
53,79,0,80
54,76,9,95
55,74,7,80
56,74,7,80
57,72,5,80
58,71,4,105
59,76,9,80
60,74,7,80
61,71,4,80
62,69,2,95
63,67,0,80
64,67,0,80
65,69,2,105
66,69,2,105
67,67,0,80
68,67,0,80
69,67,0,80
70,69,2,95
71,71,4,80
72,72,5,80
73,74,7,80
74,76,9,105
75,78,11,80
76,76,9,80
77,74,7,80
78,72,5,95
79,69,2,80
80,69,2,80
81,71,4,80
82,72,5,105
83,72,5,80
84,72,5,80
85,69,2,80
86,71,4,95
87,71,4,80
88,71,4,80
89,67,0,80
90,69,2,105
91,72,5,80
92,71,4,80
93,69,2,80
94,67,0,95
95,64,9,80
96,64,9,80
97,62,7,80
98,69,2,105
99,67,0,80
100,67,0,80
101,67,0,80
102,69,2,95
103,71,4,80
104,71,4,80
105,74,7,80
106,45,2,80
107,57,2,75
108,57,2,75
109,45,2,80
110,45,2,80
111,57,2,75
112,57,2,75
113,45,2,80
114,45,2,80
115,57,2,75
116,57,2,75
117,45,2,80
118,45,2,80
119,57,2,75
120,57,2,75
121,45,2,80
122,45,2,80
123,57,2,75
124,57,2,75
125,45,2,80
126,45,2,80
127,57,2,75
128,57,2,75
129,45,2,80
130,45,2,80
131,57,2,75
132,57,2,75
133,45,2,80
134,45,2,80
135,57,2,75
136,57,2,75
137,45,2,80
138,45,2,80
139,57,2,75
140,57,2,75
141,45,2,80
142,45,2,80
143,57,2,75
144,57,2,75
145,45,2,80
146,45,2,80
147,57,2,75
148,57,2,75
149,45,2,80
150,45,2,80
151,57,2,75
152,57,2,75
153,45,2,80
154,45,2,80
155,57,2,75
156,57,2,75
157,45,2,80
158,45,2,80
159,57,2,75
160,57,2,75
161,45,2,80
162,45,2,80
163,57,2,75
164,57,2,75
165,45,2,80
166,45,2,80
167,57,2,75
168,57,2,75
169,45,2,80
170,45,2,80
171,57,2,75
172,57,2,75
173,45,2,80
174,45,2,80
175,57,2,75
176,57,2,75
177,45,2,80
178,45,2,80
179,57,2,75
180,57,2,75
181,45,2,80
182,45,2,80
183,57,2,75
184,57,2,75
185,45,2,80
186,45,2,80
187,57,2,75
188,57,2,75
189,45,2,80
190,45,2,80
191,57,2,75
192,57,2,75
193,45,2,80
194,45,2,80
195,57,2,75
196,57,2,75
197,45,2,80
198,45,2,80
199,57,2,75
200,57,2,75
201,45,2,80
202,45,2,80
203,57,2,75
204,57,2,75
205,45,2,80
206,45,2,80
207,57,2,75
208,57,2,75
209,45,2,80
210,45,2,80
211,57,2,75
212,57,2,75
213,45,2,80
214,45,2,80
215,57,2,75
216,57,2,75
217,45,2,80
218,45,2,80
219,57,2,75
220,57,2,75
221,45,2,80
222,45,2,80
223,57,2,75
224,57,2,75
225,45,2,80
226,45,2,80
227,57,2,75
228,57,2,75
229,45,2,80
230,45,2,80
231,57,2,75
232,57,2,75
233,45,2,80
234,45,2,80
235,57,2,75
236,57,2,75
237,45,2,80
238,45,2,80
239,57,2,75
240,57,2,75
241,45,2,80
242,45,2,80
243,57,2,75
244,57,2,75
245,45,2,80
246,45,2,80
247,57,2,75
248,57,2,75
249,45,2,80
250,45,2,80
251,57,2,75
252,57,2,75
253,45,2,80
254,45,2,80
