eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,74,0,105
1,66,4,80
2,66,4,80
3,71,9,95
4,71,9,95
5,66,4,80
6,69,7,80
7,66,4,80
8,74,0,105
9,66,4,80
10,69,7,80
11,66,4,80
12,76,2,95
13,78,4,80
14,78,4,80
15,76,2,80
16,74,0,105
17,66,4,80
18,67,5,80
19,71,9,95
20,71,9,95
21,66,4,80
22,69,7,80
23,66,4,80
24,71,9,105
25,73,11,80
26,71,9,80
27,69,7,80
28,71,9,95
29,69,7,80
30,69,7,80
31,73,11,80
32,74,0,105
33,66,4,80
34,66,4,80
35,71,9,95
36,71,9,95
37,66,4,80
38,69,7,80
39,66,4,80
40,74,0,105
41,66,4,80
42,69,7,80
43,66,4,80
44,76,2,95
45,78,4,80
46,78,4,80
47,76,2,80
48,74,0,105
49,66,4,80
50,67,5,80
51,71,9,95
52,71,9,95
53,66,4,80
54,69,7,80
55,66,4,80
56,71,9,105
57,73,11,80
58,71,9,80
59,69,7,80
60,71,9,95
61,69,7,80
62,69,7,80
63,73,11,80
64,74,0,105
65,76,2,80
66,78,4,80
67,74,0,80
68,73,11,95
69,78,4,80
70,76,2,80
71,73,11,80
72,74,0,105
73,76,2,80
74,78,4,80
75,74,0,80
76,78,4,95
77,81,7,80
78,83,9,80
79,74,0,105
80,74,0,105
81,78,4,80
82,78,4,80
83,74,0,80
84,73,11,95
85,76,2,80
86,76,2,80
87,69,7,80
88,71,9,105
89,73,11,80
90,71,9,80
91,69,7,80
92,71,9,95
93,73,11,80
94,74,0,80
95,73,11,80
96,74,0,105
97,76,2,80
98,78,4,80
99,74,0,80
100,73,11,95
101,78,4,80
102,76,2,80
103,73,11,80
104,74,0,105
105,76,2,80
106,78,4,80
107,74,0,80
108,78,4,95
109,81,7,80
110,81,7,80
111,81,7,80
112,83,9,105
113,79,5,80
114,81,7,80
115,78,4,80
116,79,5,95
117,78,4,80
118,76,2,80
119,74,0,80
120,71,9,105
121,73,11,80
122,71,9,80
123,69,7,80
124,71,9,95
