,title,count
0,Lord McDonald's (reel),11
1,Kiss the Maid Behind the Barrel (reel),10
2,Miss Cox (reel),9
3,Upstairs with You (slide),8
4,Tim Mulloney's (reel),8
5,"Russians Are Coming (reel), The",8
6,"Fall of Snow , The",8
7,"Repeal of the Union (reel), The",7
8,Wise Nora,7
9,"Templeglantine Reel 2, The",7
10,Green-Gowned Lass (reel),7
11,Stoney Batter,7
12,"View from Black Head , The",6
13,Biddy the Darling (slide),6
14,Rolling in the Ryegrass 1 (reel),6
15,Willie Coleman's,6
16,"Kishkeam Ladies , The",6
17,Rolling in the Ryegrass 2 (reel),6
18,Ashmolean House (reel),6
19,Cloone (reel),6
20,"Bucks of Oranmore (reel), The",6
21,"Old Kerry Cow  (reel), The",6
22,O'Shaughnessy's Reel,6
23,Tonra's Jig,6
24,I Have No Money (reel),6
25,Paddy O'Brien's Hornpipe,6
26,"Fairhaired Boy (reel), The",6
27,Ganley's Jig,6
28,"Monasterevin Fancy (reel), The",5
29,"Wicklow Mountains, The",5
30,Foxhunter Reel,5
31,Dillane's Hornpipe,5
32,"Wheels of the World (reel), The",5
33,"Bright May Moon (reel), The",5
34,McDonagh's Reel 1,5
35,Travers' Reel,5
36,Anderson's  Reel,5
37,Quinn's Reel 1,5
38,Within a Mile of Dublin (reel),5
39,O'Connell's Trip to Parliament 2 (reel),5
40,Tatter Jack Walsh,5
41,Pat Ward's (slide),4
42,My Love is Such a Fair One (reel),4
43,Antrim Rose (reel),4
44,Last Night's Fun 2 (reel),4
45,Greig's Pipes (reel),4
46,"Limerick Blacksmith  , The",4
47,Jackson's Morning Breeze,4
48,Taidhg My Darling (reel),4
49,Foynes Jig,4
50,"Maid Of Mount Kisco (reel), The",4
51,Your Mother's Fair Pet (reel),4
52,Miss Geraldine's Jig,4
53,Mickey Connell's Hornpipe,4
54,"Rathmore Farmer , The",4
55,For the Sake of Old Decency (reel),4
56,"Highlander's Kneebuckle (reel), The",4
57,Cronin's Hornpipe,4
58,"Wandering Minstrel, The",4
59,"Noon Lasses (reel), The",4
60,Scully Casey's #2,4
61,"Piper's Lord McDonald (reel), The",4
62,"Duke of Leinster Hornpipe, The",4
63,Pat O'Beirne's Favorite,4
64,Paddy O Rafferty,4
65,Bashful Bachelor 1 (hornpipe),4
66,My Love Between Two Roses (reel),4
67,O'Connell's Reel,4
68,"Humors of Multyfarnham, The",4
69,Crushing the Twigs (reel),4
70,"Achonry Lasses (reel), The",4
71,Drover's Lads,4
72,Boy in the Gap (reel),4
73,Miss McGuiness (reel),4
74,Kiss the Maid Behind the Barrel (reel)(1),4
75,Up & Down the Stairs,4
76,"Piper's Favorite (reel), The",4
77,"Kaiser (slide), The",4
78,O'Callaghan's Hornpipe,4
79,Mulqueen's (hornpipe),4
80,Molly From Longford,4
81,Pay the Reckoning,4
82,Martin Wynne's Reel 1,4
83,"Boy in the Gap (reel), The",4
84,"Rose in the Heather, The",4
85,Munster Buttermilk,4
86,"Aghavas Reel 2, The",4
87,O'Keeffe's Musical Globe  (slide),4
88,Porter or Buttermilk  (hornpipe),3
89,Fahy's Jig,3
90,Miss Johnston (reel),3
91,Chain the Pony,3
92,Gorman's Reel,3
93,"Old Favorite, The",3
94,"New Policeman (reel), The",3
95,"Coach Road to Sligo, The",3
96,Orange and Green,3
97,"Geese in the Bog, The",3
98,Jerry Joe & George  (polka),3
99,Lucy Campbell (reel)(1),3
100,"Duke of Leinster (reel), The",3
